Restaurant,Cuisine,Rating,PriceRange,Value,Tried,Thoughts,Would I Return,Website,Phone,address,neighborhood,Location,Latitude,Longitude
Cafe Gitane,French,0,$$$,robbery,"bread and peanuts and oil, couscous","i could have made the cousous.  jean got a dinky ass sandwich that was $16, and my peanuts and bread and oil...i had to make my own bloody peanut butter for $7?!?!.  Note that I would never choose to go to a place in a hotel",HELL NO,http://www.cafegitanenyc.com/,(212) 965-0918,270 Lafayette St,Downtown,New York,40.723945,-73.996482
Sigmund's Pretzels,snacks,0,$,overpriced,"truffle cheddar, everything","granted the oven was broken so they couldn't heat it up, but wtf.  $4 for a pretzel and i couldn't taste the truffle or cheddar.  I regret eating half of this. everything was decent when toasted",HELL NO, , ,1000 5th Ave,Carnegie Hill,New York,40.779434,-73.963526
Sigmund's Pretzels,snacks,0,$,overpriced,"truffle cheddar, everything","granted the oven was broken so they couldn't heat it up, but wtf.  $4 for a pretzel and i couldn't taste the truffle or cheddar.  I regret eating half of this. everything was decent when toasted",HELL NO,http://www.sigmundnyc.com,(646) 410-0333,29 Avenue B,Downtown,New York,40.722469,-73.98294
Angelica's Kitchen,vegan/vegetarian,0,$$,expensive,quinoa salad (wed special),"one of the leaves in there was too acidic, protein bar was better",hell no,http://www.angelicakitchen.com,(212) 228-2909,300 E 12th St,Midtown,New York,40.730886,-73.985711
Bandera,American (New),0,$$$,nyc average,"sea bass, corn bread, pecan trout, roast pork loin, banana creme pie, margarita","corn bread crust is fav, everything was good, but nothing special.  roast pork probly best",def not,http://www.hillstone.com/,(312) 644-3524,535 N Michigan Ave,Near North Side,Chicago,41.891996,-87.623964
Hannah's Bretzel,sandwiches,0,$$,burning money,"wild Alaskan smoked salmon, vine tomatoes, red onions, sliced cucumbers and housemade dill cr赤me fraiche on organic bretzel Wecken_ｾ｢, thanksgiving 365: certified organic smoked turkey, local brie, romaine hearts and housemade cranberry chutney on organic whole grain Wecken_ｾ｢",not bad but nothing special.  extremely $$$,not even on someone else's dime,http://www.hannahsbretzel.com,(312) 621-1111,233 N Michigan Ave,Cityfront Center,Chicago,41.886972,-87.623551
Hannah's Bretzel,sandwiches,0,$$,burning money,"wild Alaskan smoked salmon, vine tomatoes, red onions, sliced cucumbers and housemade dill cr赤me fraiche on organic bretzel Wecken_ｾ｢, thanksgiving 365: certified organic smoked turkey, local brie, romaine hearts and housemade cranberry chutney on organic whole grain Wecken_ｾ｢",not bad but nothing special.  extremely $$$,not even on someone else's dime,http://www.hannahsbretzel.com/,(312) 621-1111,555 W Monroe St,Duncans Addition,Chicago,41.88041,-87.641555
Hannah's Bretzel,sandwiches,0,$$,burning money,"wild Alaskan smoked salmon, vine tomatoes, red onions, sliced cucumbers and housemade dill cr赤me fraiche on organic bretzel Wecken_ｾ｢, thanksgiving 365: certified organic smoked turkey, local brie, romaine hearts and housemade cranberry chutney on organic whole grain Wecken_ｾ｢",not bad but nothing special.  extremely $$$,not even on someone else's dime,http://www.hannahsbretzel.com,(312) 621-1111,180 W Washington St,Fort Dearborn Addition,Chicago,41.883322,-87.633487
Hannah's Bretzel,sandwiches,0,$$,burning money,"wild Alaskan smoked salmon, vine tomatoes, red onions, sliced cucumbers and housemade dill cr赤me fraiche on organic bretzel Wecken_ｾ｢, thanksgiving 365: certified organic smoked turkey, local brie, romaine hearts and housemade cranberry chutney on organic whole grain Wecken_ｾ｢",not bad but nothing special.  extremely $$$,not even on someone else's dime,http://www.hannahsbretzel.com,(312) 621-1111,131 S Dearborn St,Loop,Chicago,41.879773,-87.629079
Hannah's Bretzel,sandwiches,0,$$,burning money,"wild Alaskan smoked salmon, vine tomatoes, red onions, sliced cucumbers and housemade dill cr赤me fraiche on organic bretzel Wecken_ｾ｢, thanksgiving 365: certified organic smoked turkey, local brie, romaine hearts and housemade cranberry chutney on organic whole grain Wecken_ｾ｢",not bad but nothing special.  extremely $$$,not even on someone else's dime,http://www.hannahsbretzel.com,(312) 621-1111,400 N La Salle Dr,Loop,Chicago,41.889525,-87.632866
Hannah's Bretzel,sandwiches,0,$$,burning money,"wild Alaskan smoked salmon, vine tomatoes, red onions, sliced cucumbers and housemade dill cr赤me fraiche on organic bretzel Wecken_ｾ｢, thanksgiving 365: certified organic smoked turkey, local brie, romaine hearts and housemade cranberry chutney on organic whole grain Wecken_ｾ｢",not bad but nothing special.  extremely $$$,not even on someone else's dime,http://www.hannahsbretzel.com, ,400 S La Salle St,Printer's Row,Chicago,41.876538,-87.632104
Cafe Gitane,French,0,$$$,robbery,"bread and peanuts and oil, couscous","i could have made the cousous.  jean got a dinky ass sandwich that was $16, and my peanuts and bread and oil...i had to make my own bloody peanut butter for $7?!?!.  Note that I would never choose to go to a place in a hotel",HELL NO,http://www.cafegitanenyc.com,(212) 334-9552,242 Mott St,NoHo,New York,40.723143,-73.994811
Cafe Gitane,French,0,$$$,robbery,"bread and peanuts and oil, couscous","i could have made the cousous.  jean got a dinky ass sandwich that was $16, and my peanuts and bread and oil...i had to make my own bloody peanut butter for $7?!?!.  Note that I would never choose to go to a place in a hotel",HELL NO,http://www.cafegitanenyc.com,(212) 255-4113,113 Jane St,Meat Packing District,New York,40.738171,-74.009262
Green Symphony,deli,0,$$,expensive,bibibambap equiv,how are there so many stars on yelp.  cash only/$15 min and they screwed up kristina's order,hell no,http://www.greensymphonynewyork.com/,(212) 391-4747,255 W 43rd St,Midtown,New York,40.757588,-73.98845
Aquagrill,seafood,0,$$$$,pretty good sized portions,truffle crusted bay cod,"bland overcooked fish, undercooked ravioli.  stuffy atmosphere.  terrible service",HELL NO,http://www.aquagrill.com,(212) 274-0505,210 Spring St,Downtown,New York,40.725389,-74.003843
Cafe Gitane,French,0,$$$,robbery,"bread and peanuts and oil, couscous","i could have made the cousous.  jean got a dinky ass sandwich that was $16, and my peanuts and bread and oil...i had to make my own bloody peanut butter for $7?!?!.  Note that I would never choose to go to a place in a hotel",HELL NO,http://www.cafegitanenyc.com,(212) 255-4113,113 Jane St,Meat Packing District,New York,40.738171,-74.009262
Minetta Tavern,american,0,$$$,expensive,$26 Black Label Burger,i loved the fries.  crunchy and crispy.  not enough caramlized onions...didn't love the burger but maybe b/c there wasn't any cheese?,didn't even pay and i was still pissed about the calories, ,(212) 777-7514,636 Broadway,Nolita,New York,40.724936,-73.996604
