time|away|score|home
19:46| |0-2|Malik Muller made Layup. Assisted by Shane Henry.
19:27|Donte Pretlow missed Layup.|0-2| 
19:27| |0-2|Shane Henry Defensive Rebound.
19:20|Foul on Torin Childs-Harris.|0-2| 
18:57| |0-2|Ahmed Hill missed Three Point Jumper.
18:57|Donte Pretlow Defensive Rebound.|0-2| 
18:27|Blake Bozeman made Three Point Jumper.|3-2| 
18:14| |3-2|Ahmed Hill Turnover.
17:49|Blake Bozeman Turnover.|3-2| 
17:49|Foul on Blake Bozeman.|3-2| 
17:34| |3-4|Shane Henry made Dunk. Assisted by Devin Wilson.
17:15| |3-4|Foul on Malik Muller.
17:03|Cedric Blossom missed Jumper.|3-4| 
17:03|Zech Smith Offensive Rebound.|3-4| 
17:00| |3-4|Foul on Shane Henry.
17:00|Zech Smith made Free Throw.|4-4| 
17:00|Zech Smith made Free Throw.|5-4| 
16:41| |5-4|Justin Bibbs missed Jumper.
16:41|Cedric Blossom Defensive Rebound.|5-4| 
16:10|Donte Pretlow missed Layup.|5-4| 
16:10|Zech Smith Offensive Rebound.|5-4| 
16:07|Zech Smith missed Layup.|5-4| 
16:07|Cedric Blossom Offensive Rebound.|5-4| 
16:06|Cedric Blossom missed Jumper.|5-4| 
16:06| |5-4|Shane Henry Block.
16:04| |5-4|Shane Henry Defensive Rebound.
15:54| |5-4|Devin Wilson missed Layup.
15:54|Zech Smith Block.|5-4| 
15:53|Blake Bozeman Defensive Rebound.|5-4| 
15:48|Blake Bozeman made Jumper.|7-4| 
15:15| |7-4|Devin Wilson missed Jumper.
15:15|Zech Smith Defensive Rebound.|7-4| 
15:05|Blake Bozeman missed Three Point Jumper.|7-4| 
15:05| |7-4|Adam Smith Defensive Rebound.
14:56| |7-6|Justin Bibbs made Jumper.
14:39|Donte Pretlow missed Three Point Jumper.|7-6| 
14:39| |7-6|Virginia Tech Defensive Rebound.
14:38| Official TV Timeout| Official TV Timeout| Official TV Timeout
14:29| |7-9|Malik Muller made Three Point Jumper. Assisted by Devin Wilson.
14:15| |7-9|Foul on Malik Muller.
13:44|Cliff Cornish missed Jumper.|7-9| 
13:44|Kyle Thomas Offensive Rebound.|7-9| 
13:40|Kyle Thomas missed Layup.|7-9| 
13:40|Cedric Blossom Offensive Rebound.|7-9| 
13:38|Cedric Blossom missed Layup.|7-9| 
13:38| |7-9|Devin Wilson Defensive Rebound.
13:30| |7-9|Adam Smith missed Three Point Jumper.
13:30|Donte Pretlow Defensive Rebound.|7-9| 
13:21|Donte Pretlow Turnover.|7-9| 
13:00| |7-11|Joey van Zegeren made Jumper.
12:42|Cliff Cornish missed Jumper.|7-11| 
12:42| |7-11|Justin Bibbs Defensive Rebound.
12:34|Foul on Cliff Cornish.|7-11| 
12:34| |7-11|Joey van Zegeren missed Free Throw.
12:34| |7-11|Virginia Tech Deadball Team Rebound.
12:34| |7-11|Joey van Zegeren missed Free Throw.
12:34|Donte Pretlow Defensive Rebound.|7-11| 
12:23| |7-11|Foul on Joey van Zegeren.
12:23|Cliff Cornish made Free Throw.|8-11| 
12:23|Cliff Cornish missed Free Throw.|8-11| 
12:23| |8-11|Joey van Zegeren Defensive Rebound.
12:18| |8-13|Will Johnston made Layup. Assisted by Devin Wilson.
12:18|Foul on Cliff Cornish.|8-13| 
12:18| |8-14|Will Johnston made Free Throw.
11:46|Donte Pretlow missed Jumper.|8-14| 
11:46| |8-14|Justin Bibbs Defensive Rebound.
11:40| |8-14|Justin Bibbs Turnover.
11:40| Official TV Timeout| Official TV Timeout| Official TV Timeout
11:25|Torin Childs-Harris missed Layup.|8-14| 
11:25|Zech Smith Offensive Rebound.|8-14| 
11:11|Conrad Chambers missed Three Point Jumper.|8-14| 
11:11|Torin Childs-Harris Offensive Rebound.|8-14| 
11:06|Torin Childs-Harris missed Layup.|8-14| 
11:06|Zech Smith Offensive Rebound.|8-14| 
11:03|Zech Smith missed Two Point Tip Shot.|8-14| 
11:03| |8-14|Devin Wilson Defensive Rebound.
10:47| |8-14|Ahmed Hill missed Layup.
10:47|Zech Smith Block.|8-14| 
10:45|Torin Childs-Harris Defensive Rebound.|8-14| 
10:34|Torin Childs-Harris made Three Point Jumper. Assisted by Conrad Chambers.|11-14| 
10:08| |11-17|Will Johnston made Three Point Jumper. Assisted by Devin Wilson.
9:47|Conrad Chambers missed Three Point Jumper.|11-17| 
9:47| |11-17|Virginia Tech Defensive Rebound.
9:33| |11-19|Joey van Zegeren made Dunk. Assisted by Devin Wilson.
9:07|Cedric Blossom made Jumper.|13-19| 
8:49| |13-22|Justin Bibbs made Three Point Jumper. Assisted by Devin Wilson.
8:35|Blake Bozeman missed Three Point Jumper.|13-22| 
8:35|Zech Smith Offensive Rebound.|13-22| 
8:31|Zech Smith missed Layup.|13-22| 
8:31| |13-22|Joey van Zegeren Block.
8:30| |13-22|Justin Bibbs Defensive Rebound.
8:18| |13-24|Joey van Zegeren made Layup.
8:04|Blake Bozeman Turnover.|13-24| 
7:38| |13-24|Joey van Zegeren missed Jumper.
7:38|Donte Pretlow Defensive Rebound.|13-24| 
7:26|Torin Childs-Harris missed Three Point Jumper.|13-24| 
7:26| |13-24|Adam Smith Defensive Rebound.
7:08| Official TV Timeout| Official TV Timeout| Official TV Timeout
6:55| |13-24|Devin Wilson Turnover.
6:53|Donte Pretlow missed Layup.|13-24| 
6:53| |13-24|Shane Henry Block.
6:51| |13-24|Ahmed Hill Defensive Rebound.
6:48| |13-24|Justin Bibbs missed Layup.
6:48| |13-24|Devin Wilson Offensive Rebound.
6:46| |13-24|Devin Wilson missed Layup.
6:46|Blake Bozeman Defensive Rebound.|13-24| 
6:29|Torin Childs-Harris missed Jumper.|13-24| 
6:29| |13-24|Ahmed Hill Defensive Rebound.
6:18| |13-24|Adam Smith missed Three Point Jumper.
6:18| |13-24|Devin Wilson Offensive Rebound.
6:04|Foul on Jeremiah Curtis.|13-24| 
6:04| |13-25|Ahmed Hill made Free Throw.
6:04| |13-25|Ahmed Hill missed Free Throw.
6:04|Cedric Blossom Defensive Rebound.|13-25| 
5:42|Jeremiah Curtis missed Layup.|13-25| 
5:42| |13-25|Devin Wilson Block.
5:41| |13-25|Shane Henry Defensive Rebound.
5:32| |13-25|Joey van Zegeren Turnover.
5:26|Jamar Redmond made Three Point Jumper. Assisted by Blake Bozeman.|16-25| 
5:17| |16-25|Devin Wilson Turnover.
5:12|Cedric Blossom made Layup. Assisted by Blake Bozeman.|18-25| 
5:10|Virginia Tech  Timeout|Virginia Tech  Timeout|Virginia Tech  Timeout
4:52| |18-28|Ahmed Hill made Three Point Jumper. Assisted by Devin Wilson.
4:41|Blake Bozeman made Three Point Jumper. Assisted by Donte Pretlow.|21-28| 
4:33|Rasean Simpson Turnover.|21-28| 
4:33| |21-28|Foul on Adam Smith.
4:22|Donte Pretlow missed Three Point Jumper.|21-28| 
4:22| |21-28|Devin Wilson Defensive Rebound.
4:03| |21-30|Joey van Zegeren made Jumper.
3:34|Cedric Blossom made Jumper. Assisted by Donte Pretlow.|23-30| 
3:11| |23-30|Joey van Zegeren missed Jumper.
3:11|Jeremiah Curtis Defensive Rebound.|23-30| 
2:40|Jeremiah Curtis missed Jumper.|23-30| 
2:40|Jamar Redmond Offensive Rebound.|23-30| 
2:36|Jamar Redmond missed Two Point Tip Shot.|23-30| 
2:36|Jamar Redmond Offensive Rebound.|23-30| 
2:33|Jamar Redmond made Jumper.|25-30| 
2:20| |25-33|Adam Smith made Three Point Jumper. Assisted by Devin Wilson.
2:03|Jeremiah Curtis made Jumper. Assisted by Jamar Redmond.|27-33| 
1:46| |27-36|Adam Smith made Three Point Jumper. Assisted by Devin Wilson.
1:11|Donte Pretlow missed Jumper.|27-36| 
1:11| |27-36|Devin Wilson Defensive Rebound.
1:04| |27-39|Adam Smith made Three Point Jumper. Assisted by Devin Wilson.
