time	away	score	home
20:00	 	0-0	Jump Ball won by Syracuse
19:30	 	0-3	Trevor Cooney made Three Point Jumper. Assisted by Kaleb Joseph.
19:14	Terry Rozier made Jumper.	2-3	 
18:52	 	2-3	Kaleb Joseph missed Three Point Jumper.
18:52	Chinanu Onuaku Defensive Rebound.	2-3	 
18:44	Terry Rozier missed Three Point Jumper.	2-3	 
18:44	 	2-3	Michael Gbinije Defensive Rebound.
18:38	 	2-3	Trevor Cooney missed Three Point Jumper.
18:38	 	2-3	Tyler Roberson Offensive Rebound.
18:34	 	2-3	Tyler Roberson missed Jumper.
18:34	Montrezl Harrell Defensive Rebound.	2-3	 
18:21	Montrezl Harrell made Jumper. Assisted by Quentin Snider.	4-3	 
18:08	 	4-5	Rakeem Christmas made Dunk. Assisted by Michael Gbinije.
17:43	Montrezl Harrell made Jumper.	6-5	 
17:29	 	6-8	Michael Gbinije made Three Point Jumper. Assisted by Trevor Cooney.
16:50	Quentin Snider missed Three Point Jumper.	6-8	 
16:50	Chinanu Onuaku Offensive Rebound.	6-8	 
16:50	Chinanu Onuaku made Two Point Tip Shot.	8-8	 
16:27	 	8-8	Tyler Roberson missed Jumper.
16:27	Louisville Defensive Rebound.	8-8	 
16:22	 	8-8	Foul on Rakeem Christmas.
16:00	Montrezl Harrell made Dunk. Assisted by Quentin Snider.	10-8	 
15:39	 	10-8	Trevor Cooney missed Three Point Jumper.
15:39	Chinanu Onuaku Defensive Rebound.	10-8	 
15:25	 	10-8	Foul on B.J. Johnson.
15:25	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:25	Montrezl Harrell missed Free Throw.	10-8	 
15:25	Louisville Deadball Team Rebound.	10-8	 
15:25	Montrezl Harrell missed Free Throw.	10-8	 
15:25	 	10-8	B.J. Johnson Defensive Rebound.
15:13	Foul on Montrezl Harrell.	10-8	 
15:13	 	10-9	Rakeem Christmas made Free Throw.
15:13	 	10-10	Rakeem Christmas made Free Throw.
15:02	Terry Rozier made Three Point Jumper. Assisted by Chinanu Onuaku.	13-10	 
14:39	 	13-12	Rakeem Christmas made Dunk. Assisted by Ron Patterson.
14:20	Terry Rozier missed Layup.	13-12	 
14:20	 	13-12	B.J. Johnson Defensive Rebound.
14:09	 	13-12	B.J. Johnson missed Jumper.
14:09	Chinanu Onuaku Block.	13-12	 
14:09	Quentin Snider Defensive Rebound.	13-12	 
13:46	Quentin Snider made Layup.	15-12	 
13:33	 	15-12	B.J. Johnson missed Three Point Jumper.
13:33	 	15-12	Ron Patterson Offensive Rebound.
13:21	 	15-12	Trevor Cooney missed Three Point Jumper.
13:21	Chinanu Onuaku Defensive Rebound.	15-12	 
13:15	Terry Rozier made Layup. Assisted by Chinanu Onuaku.	17-12	 
13:11	Syracuse  Timeout	Syracuse  Timeout	Syracuse  Timeout
12:51	 	17-12	Michael Gbinije missed Three Point Jumper.
12:51	Quentin Snider Defensive Rebound.	17-12	 
12:37	Wayne Blackshear missed Three Point Jumper.	17-12	 
12:37	Montrezl Harrell Offensive Rebound.	17-12	 
12:30	Anas Mahmoud made Jumper. Assisted by Montrezl Harrell.	19-12	 
12:13	Foul on Wayne Blackshear.	19-12	 
12:13	 	19-12	Rakeem Christmas missed Free Throw.
12:13	 	19-12	Syracuse Deadball Team Rebound.
12:13	 	19-13	Rakeem Christmas made Free Throw.
11:44	 	19-13	Foul on Michael Gbinije.
11:44	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:44	Montrezl Harrell made Free Throw.	20-13	 
11:44	Montrezl Harrell made Free Throw.	21-13	 
11:36	Foul on Anas Mahmoud.	21-13	 
11:33	 	21-15	Rakeem Christmas made Layup. Assisted by Trevor Cooney.
11:16	Quentin Snider missed Three Point Jumper.	21-15	 
11:16	 	21-15	Michael Gbinije Block.
11:16	 	21-15	Rakeem Christmas Defensive Rebound.
11:05	 	21-15	Ron Patterson missed Layup.
