"time	away	score	home"
"19:37	Eric Paschall missed Layup.	0-0	 "
"19:37	Ryan Rhoomes Offensive Rebound.	0-0	 "
"19:23	Eric Paschall Turnover.	0-0	 "
"19:22	 	0-0	Jack Gibbs Steal."
"19:21	Foul on Eric Paschall.	0-0	 "
"19:07	 	0-2	Jordan Barham made Layup."
"18:49	Ryan Rhoomes missed Layup.	0-2	 "
"18:49	 	0-2	Peyton Aldridge Defensive Rebound."
"18:17	 	0-2	Tyler Kalinoski missed Layup."
"18:17	Eric Paschall Defensive Rebound.	0-2	 "
"18:10	Bryan Smith made Jumper.	2-2	 "
"18:01	 	2-4	Jack Gibbs made Layup."
"17:27	Mandell Thomas Turnover.	2-4	 "
"17:15	 	2-4	Jordan Barham missed Layup."
"17:15	Christian Sengfelder Defensive Rebound.	2-4	 "
"16:55	Christian Sengfelder made Three Point Jumper. Assisted by Eric Paschall.	5-4	 "
"16:46	 	5-6	Jack Gibbs made Layup."
"16:30	Bryan Smith missed Three Point Jumper.	5-6	 "
"16:30	 	5-6	Jordan Barham Defensive Rebound."
"16:16	 	5-8	Tyler Kalinoski made Layup."
"15:53	Eric Paschall missed Three Point Jumper.	5-8	 "
"15:53	 	5-8	Peyton Aldridge Defensive Rebound."
"15:45	 	5-10	Jordan Barham made Layup. Assisted by Brian Sullivan."
"15:23	Ryan Rhoomes missed Jumper.	5-10	 "
"15:23	 	5-10	Jordan Barham Defensive Rebound."
"15:14	Foul on Ryan Rhoomes.	5-10	 "
"15:11	 	5-13	Peyton Aldridge made Three Point Jumper. Assisted by Brian Sullivan."
"14:53	Jon Severe Turnover.	5-13	 "
"14:52	 	5-13	Andrew McAuliffe Steal."
"14:46	 	5-16	Tyler Kalinoski made Three Point Jumper. Assisted by Brian Sullivan."
"14:38	Fordham  Timeout	Fordham  Timeout	Fordham  Timeout"
"14:23	Eric Paschall made Layup.	7-16	 "
"14:03	 	7-16	Andrew McAuliffe missed Layup."
"14:03	Christian Sengfelder Defensive Rebound.	7-16	 "
"13:51	Christian Sengfelder missed Three Point Jumper.	7-16	 "
"13:51	 	7-16	Andrew McAuliffe Defensive Rebound."
"13:26	 	7-16	Brian Sullivan Turnover."
"13:26	Mandell Thomas Steal.	7-16	 "
"13:23	Mandell Thomas made Layup.	9-16	 "
"13:14	 	9-18	Brian Sullivan made Layup."
"12:52	Nemanja Zarkovic missed Jumper.	9-18	 "
"12:52	 	9-18	Peyton Aldridge Defensive Rebound."
"12:44	 	9-18	Peyton Aldridge missed Three Point Jumper."
"12:44	Mandell Thomas Defensive Rebound.	9-18	 "
"12:22	Bryan Smith missed Layup.	9-18	 "
"12:22	 	9-18	Jordan Barham Block."
"12:19	 	9-18	Davidson Defensive Rebound."
"12:07	Foul on Nemanja Zarkovic.	9-18	 "
"11:41	Fordham  Timeout	Fordham  Timeout	Fordham  Timeout"
"11:27	 	9-18	Oskar Michelsen missed Layup."
"11:27	Christian Sengfelder Defensive Rebound.	9-18	 "
"11:13	 	9-18	Foul on Nathan Ekwu."
