time|away|score|home
19:44|Shane Richards missed Three Point Jumper.|0-0| 
19:44| |0-0|Jarquez Smith Defensive Rebound.
19:22| |0-0|Kiel Turpin missed Jumper.
19:22|Emmy Andujar Defensive Rebound.|0-0| 
19:04| |0-0|Foul on Aaron Thomas.
18:50|Jermaine Lawrence Turnover.|0-0| 
18:46| |0-2|Aaron Thomas made Layup.
18:32|Ashton Pankey Turnover.|0-2| 
18:24| |0-2|Kiel Turpin Turnover.
18:13|Jermaine Lawrence missed Three Point Jumper.|0-2| 
18:13| |0-2|Devon Bookert Defensive Rebound.
17:59| |0-4|Montay Brandon made Jumper.
17:34|Shane Richards made Three Point Jumper. Assisted by Emmy Andujar.|3-4| 
17:16| |3-4|Aaron Thomas Turnover.
17:09|Foul on Ashton Pankey.|3-4| 
17:09|Ashton Pankey Turnover.|3-4| 
17:07| |3-4|Jarquez Smith Turnover.
17:05|Rich Williams Steal.|3-4| 
17:03|Shane Richards made Three Point Jumper. Assisted by Rich Williams.|6-4| 
16:52|Foul on RaShawn Stores.|6-4| 
16:42| |6-4|Montay Brandon Turnover.
16:34|Shane Richards missed Jumper.|6-4| 
16:34| |6-4|Montay Brandon Defensive Rebound.
16:22| |6-6|Montay Brandon made Jumper.
16:22|Foul on Carlton Allen.|6-6| 
16:22| |6-7|Montay Brandon made Free Throw.
16:05| |6-7|Foul on Montay Brandon.
15:51|RaShawn Stores made Three Point Jumper.|9-7| 
15:37| |9-9|Kiel Turpin made Dunk. Assisted by Devon Bookert.
15:00|Emmy Andujar Turnover.|9-9| 
14:58| |9-9|Kiel Turpin Steal.
14:55| |9-9|Aaron Thomas missed Three Point Jumper.
14:55|Donovan Kates Defensive Rebound.|9-9| 
14:45|Rich Williams made Three Point Jumper.|12-9| 
14:26| |12-9|Kiel Turpin missed Jumper.
14:26|Donovan Kates Defensive Rebound.|12-9| 
14:12|Carlton Allen Turnover.|12-9| 
14:12| Official TV Timeout| Official TV Timeout| Official TV Timeout
13:51| |12-9|Dayshawn Watkins Turnover.
13:44| |12-9|Foul on Dayshawn Watkins.
13:44|Ashton Pankey made Free Throw.|13-9| 
13:44|Ashton Pankey made Free Throw.|14-9| 
13:36| |14-9|Devon Bookert Turnover.
13:21|Jermaine Lawrence made Three Point Jumper.|17-9| 
12:58| |17-9|Boris Bojanovsky missed Jumper.
12:58|Ashton Pankey Defensive Rebound.|17-9| 
12:56| |17-9|Foul on Boris Bojanovsky.
12:31|Ashton Pankey missed Jumper.|17-9| 
12:31| |17-9|Florida St Defensive Rebound.
12:16| |17-9|Phil Cofer missed Dunk.
12:16|Shane Richards Defensive Rebound.|17-9| 
12:09|Ashton Pankey missed Layup.|17-9| 
12:09| |17-9|Boris Bojanovsky Block.
12:08| |17-9|Devon Bookert Defensive Rebound.
12:04|Foul on Tyler Wilson.|17-9| 
11:58|Foul on Carlton Allen.|17-9| 
11:58| Official TV Timeout| Official TV Timeout| Official TV Timeout
11:55| |17-9|Boris Bojanovsky missed Layup.
11:55|Jermaine Lawrence Block.|17-9| 
11:53|Carlton Allen Defensive Rebound.|17-9| 
11:47| |17-9|Foul on Boris Bojanovsky.
11:39|Foul on Emmy Andujar.|17-9| 
11:39|Emmy Andujar Turnover.|17-9| 
11:27| |17-9|Phil Cofer Turnover.
11:15|Foul on Emmy Andujar.|17-9| 
11:15|Emmy Andujar Turnover.|17-9| 
11:06| |17-11|Aaron Thomas made Jumper.
10:55|Jermaine Lawrence Turnover.|17-11| 
10:45| |17-11|Aaron Thomas missed Three Point Jumper.
10:45|Ashton Pankey Defensive Rebound.|17-11| 
10:26|Calvin Crawford missed Three Point Jumper.|17-11| 
10:26|Ashton Pankey Offensive Rebound.|17-11| 
10:21|Jermaine Lawrence missed Jumper.|17-11| 
10:21| |17-11|Florida St Deadball Team Rebound.
10:17|Foul on Calvin Crawford.|17-11| 
10:17| |17-11|Robbie Berwick missed Free Throw.
10:17|Ashton Pankey Defensive Rebound.|17-11| 
10:07| |17-11|Foul on Robbie Berwick.
10:04|Shane Richards missed Jumper.|17-11| 
10:04| |17-11|Phil Cofer Defensive Rebound.
9:39| |17-11|Aaron Thomas missed Three Point Jumper.
9:39| |17-11|Florida St Deadball Team Rebound.
9:37|Foul on Ashton Pankey.|17-11| 
9:37| |17-11|Phil Cofer missed Free Throw.
9:37|Shane Richards Defensive Rebound.|17-11| 
9:16|Rich Williams missed Three Point Jumper.|17-11| 
9:16| |17-11|Robbie Berwick Defensive Rebound.
9:10| |17-11|Robbie Berwick Turnover.
9:10|Tyler Wilson Steal.|17-11| 
9:10| |17-11|Foul on Kiel Turpin.
9:10|Tyler Wilson missed Free Throw.|17-11| 
9:10| |17-11|Aaron Thomas Defensive Rebound.
9:09|Foul on Calvin Crawford.|17-11| 
9:09| |17-12|Aaron Thomas made Free Throw.
9:09| |17-13|Aaron Thomas made Free Throw.
8:58|Shane Richards made Three Point Jumper. Assisted by Emmy Andujar.|20-13| 
8:35| |20-13|Devon Bookert Turnover.
8:20|Jermaine Lawrence missed Jumper.|20-13| 
8:20| |20-13|Montay Brandon Defensive Rebound.
8:11| |20-13|Michael Ojo Turnover.
8:09|Jermaine Lawrence Steal.|20-13| 
8:02| |20-13|Foul on Montay Brandon.
8:02|Tyler Wilson made Free Throw.|21-13| 
8:02|Tyler Wilson missed Free Throw.|21-13| 
8:02| |21-13|Devon Bookert Defensive Rebound.
7:48| |21-13|Devon Bookert Turnover.
7:47|Tyler Wilson Steal.|21-13| 
7:44|Shane Richards missed Three Point Jumper.|21-13| 
7:44|Carlton Allen Offensive Rebound.|21-13| 
7:26| |21-13|Foul on Michael Ojo.
7:26| Official TV Timeout| Official TV Timeout| Official TV Timeout
7:26|Tyler Wilson made Free Throw.|22-13| 
7:26|Tyler Wilson made Free Throw.|23-13| 
7:13| |23-15|Kiel Turpin made Layup. Assisted by Dayshawn Watkins.
7:13|Foul on Carlton Allen.|23-15| 
7:13| |23-16|Kiel Turpin made Free Throw.
6:59| |23-16|Foul on Kiel Turpin.
6:59|Jermaine Lawrence missed Free Throw.|23-16| 
6:59|Manhattan Deadball Team Rebound.|23-16| 
6:59|Jermaine Lawrence made Free Throw.|24-16| 
6:50| |24-16|Jarquez Smith Turnover.
6:48|Jermaine Lawrence Steal.|24-16| 
6:40|Ashton Pankey Turnover.|24-16| 
6:38| |24-16|Dayshawn Watkins Steal.
6:31| |24-16|Foul on Aaron Thomas.
6:31| |24-16|Aaron Thomas Turnover.
6:22|Foul on Ashton Pankey.|24-16| 
6:22|Ashton Pankey Turnover.|24-16| 
6:15|Foul on Jermaine Lawrence.|24-16| 
6:15| |24-17|Robbie Berwick made Free Throw.
6:15| |24-17|Robbie Berwick missed Free Throw.
6:15|Samson Akilo Defensive Rebound.|24-17| 
6:02|Jermaine Lawrence missed Jumper.|24-17| 
6:02| |24-17|Dayshawn Watkins Defensive Rebound.
5:55| |24-17|Dayshawn Watkins Turnover.
5:55|Florida St  Timeout|Florida St  Timeout|Florida St  Timeout
5:43|Rich Williams missed Jumper.|24-17| 
5:43|Carlton Allen Offensive Rebound.|24-17| 
5:39|Carlton Allen missed Layup.|24-17| 
5:39| |24-17|Jarquez Smith Defensive Rebound.
5:26| |24-17|Phil Cofer missed Three Point Jumper.
5:26| |24-17|Jarquez Smith Offensive Rebound.
5:18|Foul on Carlton Allen.|24-17| 
5:18| |24-18|Jarquez Smith made Free Throw.
5:18| |24-19|Jarquez Smith made Free Throw.
4:55|Shane Richards missed Three Point Jumper.|24-19| 
4:55| |24-19|Florida St Deadball Team Rebound.
4:51|Foul on Emmy Andujar.|24-19| 
4:51| |24-19|Jarquez Smith missed Free Throw.
4:51| |24-19|Florida St Deadball Team Rebound.
4:51| |24-20|Jarquez Smith made Free Throw.
4:41| |24-20|Foul on Jarquez Smith.
4:41|Shane Richards made Free Throw.|25-20| 
4:41|Shane Richards made Free Throw.|26-20| 
4:25| |26-22|Devon Bookert made Jumper.
4:10|Rich Williams made Layup.|28-22| 
4:03|Foul on Tyler Wilson.|28-22| 
4:03| |28-23|Dayshawn Watkins made Free Throw.
4:03| |28-24|Dayshawn Watkins made Free Throw.
3:44|Donovan Kates missed Three Point Jumper.|28-24| 
3:44| |28-24|Phil Cofer Defensive Rebound.
3:20| |28-26|Jarquez Smith made Dunk. Assisted by Devon Bookert.
3:04| |28-26|Foul on Robbie Berwick.
3:04| Official TV Timeout| Official TV Timeout| Official TV Timeout
3:04|Shane Richards missed Free Throw.|28-26| 
3:04|Manhattan Deadball Team Rebound.|28-26| 
3:04|Shane Richards made Free Throw.|29-26| 
3:04|Shane Richards made Free Throw.|30-26| 
2:58|Foul on Shane Richards.|30-26| 
2:58| |30-27|Robbie Berwick made Free Throw.
2:58| |30-28|Robbie Berwick made Free Throw.
2:41|RaShawn Stores Turnover.|30-28| 
2:39| |30-28|Dayshawn Watkins Steal.
