Game_id,Date,HomeTeam,HomeRank,HomeRecord,AwayTeam,AwayRank,AwayRecord
400591082,2014-11-14,VCU,15,"(1-0, 0-0 home)",Tennessee,NR,"(0-1, 0-0 away)"
400591080,2014-11-14,G Washington,NR,"(1-0, 1-0 home)",Grambling St,NR,"(0-1, 0-1 away)"
400591081,2014-11-14,Dayton,NR,"(1-0, 1-0 home)",Alabama A&M;,NR,"(0-1, 0-1 away)"
400591084,2014-11-14,URI,NR,"(1-0, 1-0 home)",Pace,NR, 
400591085,2014-11-14,Saint Joe's,NR,"(0-1, 0-1 home)",Fair Dickinson,NR,"(1-0, 1-0 away)"
400589240,2014-11-14,Richmond,NR,"(1-0, 1-0 home)",Radford,NR,"(0-1, 0-1 away)"
400591083,2014-11-14,George Mason,NR,"(0-1, 0-1 home)",Cornell,NR,"(1-0, 1-0 away)"
400591086,2014-11-14,Fordham,NR,"(1-0, 1-0 home)",NYIT,NR, 
400591087,2014-11-15,Davidson,NR,"(1-0, 1-0 home)",Catholic Univ.,NR, 
400591088,2014-11-15,Duquesne,NR,"(1-0, 1-0 home)",Bluefield St,NR, 
400587029,2014-11-15,La Salle,NR,"(1-0, 1-0 home)",Colgate,NR,"(0-1, 0-1 away)"
400591089,2014-11-15,St Bonaventure,NR,"(1-0, 1-0 home)",Dartmouth,NR,"(0-1, 0-1 away)"
400586298,2014-11-15,Saint Louis,NR,"(1-0, 1-0 home)",S Illinois,NR,"(0-1, 0-1 away)"
400591091,2014-11-16,George Mason,NR,"(1-1, 1-1 home)",Princeton,NR,"(1-1, 0-1 away)"
400591092,2014-11-16,URI,NR,"(2-0, 2-0 home)",UMass Lowell,NR,"(0-2, 0-2 away)"
400587759,2014-11-16,UMass,NR,"(2-1, 1-0 home)",Boston College,NR,"(2-0, 1-0 away)"
400591093,2014-11-16,Penn State,NR,"(2-0, 2-0 home)",Fordham,NR,"(1-1, 0-1 away)"
400591090,2014-11-16,Rutgers,NR,"(0-1, 0-1 home)",G Washington,NR,"(2-0, 1-0 away)"
400591094,2014-11-17,Drexel,NR,"(0-2, 0-1 home)",Saint Joe's,NR,"(1-1, 1-0 away)"
400586123,2014-11-18,UMass,NR,"(3-0, 2-0 home)",Manhattan,NR,"(0-2, 0-2 away)"
400587395,2014-11-18,VCU,15,"(2-0, 1-0 home)",Toledo,NR,"(1-1, 0-1 away)"
400589254,2014-11-18,Davidson,NR,"(2-0, 2-0 home)",Campbell,NR,"(1-1, 0-1 away)"
400586121,2014-11-18,Quinnipiac,NR,"(1-1, 1-1 home)",La Salle,NR,"(2-0, 1-0 away)"
400591095,2014-11-18,Old Dominion,NR,"(2-0, 2-0 home)",Richmond,NR,"(1-1, 0-1 away)"
400586125,2014-11-19,St Bonaventure,NR,"(1-1, 1-1 home)",Siena,NR,"(1-2, 1-1 away)"
400587223,2014-11-19,Gonzaga,13,"(3-0, 3-0 home)",Saint Joe's,NR,"(1-2, 1-1 away)"
400591096,2014-11-20,Dayton,NR,"(2-0, 1-0 home)",Texas A&M;,NR,"(1-1, 0-0 away)"
400591097,2014-11-20,VCU,15,"(3-0, 2-0 home)",MD-E Shore,NR,"(1-3, 1-3 away)"
400585689,2014-11-20,West Virginia,NR,"(3-0, 2-0 home)",George Mason,NR,"(1-2, 0-0 away)"
400591098,2014-11-20,Maryland,NR,"(3-0, 3-0 home)",Fordham,NR,"(1-2, 0-2 away)"
400608010,2014-11-21,UConn,17,"(3-0, 1-0 home)",Dayton,NR,"(2-1, 0-0 away)"
400587781,2014-11-21,UVA,9,"(4-0, 3-0 home)",G Washington,NR,"(2-1, 1-1 away)"
400587782,2014-11-22,UMass,NR,"(3-1, 2-0 home)",Notre Dame,NR,"(4-0, 0-0 away)"
400586136,2014-11-22,La Salle,NR,"(3-0, 2-0 home)",St Peter's,NR,"(0-4, 0-1 MAAC)"
400599792,2014-11-22,Richmond,NR,"(2-1, 2-0 home)",High Point,NR,"(3-1, 1-1 away)"
400587784,2014-11-22,Davidson,NR,"(2-1, 2-0 home)",UNC,6,"(3-0, 0-0 away)"
400586137,2014-11-22,St Bonaventure,NR,"(2-1, 2-1 home)",Canisius,NR,"(2-1, 1-1 away)"
400591099,2014-11-22,Abil Christian,NR,"(1-2, 1-1 home)",Duquesne,NR,"(2-0, 1-0 away)"
400591101,2014-11-22,URI,NR,"(3-0, 3-0 home)",Nebraska,21,"(2-1, 0-1 away)"
400608195,2014-11-23,George Mason,NR,"(1-4, 1-1 home)",Charleston,NR,"(2-3, 1-0 away)"
400587786,2014-11-23,FSU,NR,"(1-3, 1-1 home)",UMass,NR,"(4-1, 0-0 away)"
400591102,2014-11-23,Saint Louis,NR,"(2-1, 1-1 home)",Texas A&M-CC;,NR,"(2-1, 1-1 away)"
400608188,2014-11-23,Boston College,NR,"(2-3, 1-0 home)",Dayton,NR,"(3-1, 0-0 away)"
400591103,2014-11-23,Fordham,NR,"(1-3, 1-1 home)",UMass Lowell,NR,"(3-2, 3-2 away)"
400588341,2014-11-24,VCU,14,"(3-1, 2-0 home)",Villanova,12,"(4-0, 0-0 away)"
400591105,2014-11-25,Saint Joe's,NR,"(3-2, 2-1 home)",LIU Brooklyn,NR,"(0-2, 0-2 away)"
400591106,2014-11-25,La Salle,NR,"(4-0, 3-0 home)",St Francis (BKN),NR,"(0-4, 0-3 away)"
400608481,2014-11-25,Oregon,NR,"(3-2, 3-0 home)",VCU,14,"(4-1, 0-0 away)"
400591104,2014-11-25,Saint Louis,NR,"(3-1, 2-1 home)",NC A&T;,NR,"(1-4, 0-3 away)"
400591107,2014-11-26,UMass,NR,"(5-1, 3-0 home)",Northeastern,NR,"(4-1, 1-1 away)"
400586696,2014-11-26,UCF,NR,"(3-1, 3-1 home)",Davidson,NR,"(3-1, 1-0 away)"
400587799,2014-11-26,NC State,NR,"(5-0, 5-0 home)",Richmond,NR,"(2-2, 0-2 away)"
400589273,2014-11-26,G Washington,NR,"(3-1, 2-0 home)",Longwood,NR,"(2-4, 0-3 away)"
400585707,2014-11-27,URI,NR,"(3-1, 3-0 home)",Kansas,11,"(3-1, 0-0 away)"
400591369,2014-11-27,Saint Joe's,NR,"(3-3, 2-1 home)",W Kentucky,NR,"(2-3, 0-2 away)"
400608902,2014-11-28,URI,NR,"(4-1, 3-0 home)",Santa Clara,NR,"(2-4, 0-2 away)"
400591109,2014-11-28,Saint Louis,NR,"(3-2, 2-1 home)",Miss St,NR,"(5-0, 0-0 away)"
400591110,2014-11-29,Old Dominion,NR,"(5-1, 3-0 home)",VCU,14,"(4-2, 0-1 away)"
400586152,2014-11-29,Niagara,NR,"(1-3, 1-0 MAAC)",St Bonaventure,NR,"(4-1, 0-0 away)"
400591111,2014-11-29,Dayton,NR,"(4-1, 2-0 home)",UIC,NR,"(2-5, 0-3 away)"
400591112,2014-11-29,Duquesne,NR,"(2-1, 1-1 home)",NJIT,NR,"(2-4, 1-3 away)"
400591113,2014-11-29,Davidson,NR,"(4-1, 3-0 home)",UNC-Wilmington,NR,"(2-2, 2-2 away)"
400591114,2014-11-29,Harvard,NR,"(4-1, 4-0 home)",UMass,NR,"(5-2, 0-1 away)"
400586149,2014-11-29,George Mason,NR,"(2-4, 2-1 home)",Manhattan,NR,"(1-4, 0-3 away)"
400588348,2014-11-29,Seton Hall,NR,"(5-0, 2-0 home)",G Washington,NR,"(3-2, 1-2 away)"
400591115,2014-11-29,Fordham,NR,"(1-4, 1-2 home)",MD-E Shore,NR,"(2-6, 2-4 away)"
400609057,2014-11-29,Vanderbilt,NR,"(5-1, 4-0 home)",La Salle,NR,"(4-2, 1-0 away)"
400609015,2014-11-30,Georgia Tech,NR,"(5-1, 3-0 home)",URI,NR,"(4-2, 0-0 away)"
400586158,2014-12-01,Fordham,NR,"(2-4, 2-2 home)",Siena,NR,"(2-3, 2-2 away)"
400591117,2014-12-02,LSU,NR,"(5-2, 4-0 home)",UMass,NR,"(5-3, 0-2 away)"
400591118,2014-12-02,Duquesne,NR,"(3-1, 2-1 home)",Howard,NR,"(4-4, 1-4 away)"
400586337,2014-12-02,Illinois State,NR,"(3-3, 1-2 home)",VCU,NR,"(5-2, 1-1 away)"
400591116,2014-12-02,Saint Louis,NR,"(5-2, 3-1 home)",Rockhurst,NR, 
400586707,2014-12-03,Saint Joe's,NR,"(4-3, 3-1 home)",Temple,NR,"(4-3, 0-1 away)"
400587427,2014-12-03,St Bonaventure,NR,"(5-1, 4-1 home)",Buffalo,NR,"(4-2, 3-2 away)"
400587428,2014-12-03,Miami (OH),NR,"(2-5, 2-3 home)",Dayton,NR,"(5-1, 1-0 away)"
400591120,2014-12-03,Richmond,NR,"(3-3, 3-0 home)",William & Mary,NR,"(5-2, 1-2 away)"
400591121,2014-12-03,Davidson,NR,"(5-1, 4-0 home)",Charlotte,NR,"(4-3, 2-1 away)"
400591119,2014-12-03,George Mason,NR,"(2-5, 2-2 home)",Old Dominion,NR,"(6-1, 1-0 away)"
400588353,2014-12-03,La Salle,NR,"(4-3, 3-1 home)",Villanova,10,"(7-0, 1-0 away)"
400591122,2014-12-04,G Washington,NR,"(4-2, 3-0 home)",UMBC,NR,"(0-7, 0-5 away)"
400587825,2014-12-05,Pitt,NR,"(5-3, 2-0 home)",Duquesne,NR,"(3-2, 1-0 away)"
400586716,2014-12-06,Temple,NR,"(5-3, 4-0 home)",La Salle,NR,"(4-4, 1-0 away)"
400588357,2014-12-06,Villanova,10,"(8-0, 4-0 home)",Saint Joe's,NR,"(4-4, 1-2 away)"
400587826,2014-12-06,VCU,NR,"(5-3, 2-1 home)",UVA,7,"(9-0, 3-0 away)"
400587434,2014-12-06,Dayton,NR,"(6-1, 3-0 home)",E Michigan,NR,"(7-1, 0-1 away)"
400587436,2014-12-06,Ohio,NR,"(2-3, 2-2 home)",St Bonaventure,NR,"(6-1, 1-0 away)"
