Game_id,Date,HomeTeam,HomeRank,HomeRecord,AwayTeam,AwayRank,AwayRecord
400587747,2014-11-14,Duke,4,"(1-0, 1-0 home)",Presbyterian,NR,"(0-1, 0-1 away)"
400587753,2014-11-14,JMU,NR,"(0-1, 0-1 home)",UVA,9,"(1-0, 1-0 away)"
400588634,2014-11-14,Syracuse,23,"(1-0, 1-0 home)",Kennesaw St,NR,"(0-1, 0-1 away)"
400586109,2014-11-14,Pitt,NR,"(1-0, 1-0 home)",Niagara,NR,"(0-1, 0-1 away)"
400587749,2014-11-14,VT,NR,"(1-0, 1-0 home)",MD-E Shore,NR,"(0-1, 0-1 away)"
400587751,2014-11-14,Clemson,NR,"(1-0, 1-0 home)",Florida A&M;,NR,"(0-1, 0-1 away)"
400587752,2014-11-14,Georgia Tech,NR,"(1-0, 1-0 home)",Georgia,NR,"(0-1, 0-1 away)"
400587754,2014-11-14,Wake Forest,NR,"(1-0, 1-0 home)",UNC Asheville,NR,"(0-1, 0-1 away)"
400587756,2014-11-14,Miami (FL),NR,"(1-0, 1-0 home)",Howard,NR,"(0-1, 0-1 away)"
400587757,2014-11-14,NC State,NR,"(1-0, 1-0 home)",Jackson State,NR,"(0-1, 0-1 away)"
400587748,2014-11-14,Louisville,8,"(1-0, 0-0 home)",Minnesota,NR,"(0-1, 0-0 away)"
400587755,2014-11-14,UNC,6,"(1-0, 1-0 home)",NC Central,NR,"(0-1, 0-1 away)"
400587758,2014-11-14,Notre Dame,NR,"(1-0, 1-0 home)",Binghamton,NR,"(0-1, 0-1 away)"
400586115,2014-11-15,FSU,NR,"(1-0, 1-0 home)",Manhattan,NR,"(0-1, 0-1 away)"
400586117,2014-11-15,Duke,4,"(2-0, 2-0 home)",Fairfield,NR,"(1-1, 0-1 away)"
400587762,2014-11-16,Pitt,NR,"(2-0, 2-0 home)",Samford,NR,"(0-2, 0-2 away)"
400587030,2014-11-16,Notre Dame,NR,"(2-0, 2-0 home)",Navy,NR,"(0-2, 0-1 away)"
400587759,2014-11-16,UMass,NR,"(2-1, 1-0 home)",Boston College,NR,"(2-0, 1-0 away)"
400598551,2014-11-16,Syracuse,23,"(2-0, 2-0 home)",Hampton,NR,"(0-2, 0-2 away)"
400587760,2014-11-16,UNC,6,"(2-0, 2-0 home)",Robert Morris,NR,"(0-2, 0-1 away)"
400587761,2014-11-16,UVA,9,"(2-0, 1-0 home)",Norfolk State,NR,"(1-1, 0-1 away)"
400587765,2014-11-17,Louisville,7,"(2-0, 1-0 home)",Jacksonville St,NR,"(0-2, 0-2 away)"
400587764,2014-11-17,Florida,8,"(1-1, 1-1 home)",Miami (FL),NR,"(2-0, 1-0 away)"
400587763,2014-11-17,Clemson,NR,"(1-1, 1-1 home)",Winthrop,NR,"(2-0, 1-0 away)"
400587766,2014-11-17,NC State,NR,"(2-0, 2-0 home)",Hofstra,NR,"(1-1, 0-1 away)"
400587767,2014-11-17,Tulane,NR,"(0-1, 0-1 home)",Wake Forest,NR,"(2-0, 1-0 away)"
400587768,2014-11-18,Duke,4,"(3-0, 2-0 home)",Michigan State,19,"(1-1, 1-0 away)"
400587771,2014-11-18,UVA,9,"(3-0, 2-0 home)",S Carolina St,NR,"(0-3, 0-3 away)"
400587769,2014-11-18,Georgia Tech,NR,"(2-0, 2-0 home)",Alabama A&M;,NR,"(0-2, 0-2 away)"
400587770,2014-11-18,FSU,NR,"(1-1, 1-1 home)",Northeastern,NR,"(2-0, 1-0 away)"
400587772,2014-11-19,Notre Dame,NR,"(3-0, 3-0 home)",Coppin State,NR,"(0-3, 0-3 away)"
400587773,2014-11-19,VT,NR,"(2-0, 2-0 home)",Liberty,NR,"(2-1, 0-1 away)"
400587774,2014-11-19,Arkansas,NR,"(2-0, 2-0 home)",Wake Forest,NR,"(2-1, 1-1 away)"
400587775,2014-11-20,Miami (FL),NR,"(3-0, 1-0 home)",Drexel,NR,"(0-3, 0-1 away)"
400587776,2014-11-20,Boston College,NR,"(2-1, 1-0 home)",New Mexico,NR,"(2-1, 0-0 away)"
400587778,2014-11-20,NC State,NR,"(3-0, 3-0 home)",Jacksonville,NR,"(1-3, 0-2 away)"
400587777,2014-11-20,Cal,NR,"(3-0, 2-0 home)",Syracuse,23,"(2-1, 0-0 away)"
400589263,2014-11-21,Gardner-Webb,NR,"(2-1, 0-0 home)",Clemson,NR,"(1-2, 0-0 away)"
400607989,2014-11-21,Miami (FL),NR,"(4-0, 1-0 home)",Akron,NR,"(2-1, 0-0 away)"
400607994,2014-11-21,Iowa,NR,"(2-2, 2-0 home)",Syracuse,23,"(3-1, 0-0 away)"
400607992,2014-11-21,West Virginia,NR,"(4-0, 2-0 home)",Boston College,NR,"(2-2, 0-0 away)"
400587781,2014-11-21,UVA,9,"(4-0, 3-0 home)",G Washington,NR,"(2-1, 1-1 away)"
400586877,2014-11-21,Georgia Tech,NR,"(3-0, 3-0 home)",IPFW,NR,"(2-1, 1-1 away)"
400586130,2014-11-21,Wake Forest,NR,"(2-2, 1-1 home)",Iona,NR,"(2-1, 1-1 away)"
400587779,2014-11-21,Louisville,7,"(3-0, 2-0 home)",Marshall,NR,"(3-1, 0-1 away)"
