,Game_id,Date,HomeTeam,HomeRank,AwayTeam,AwayRank,Wins_Home,Losses_Home,Win Percent,Wins_Visitor,Losses_Visitor,Visitor Win Percentage
1513,400585667,11/14/14,Iowa State,14,Oakland,NR,1,0,[1.0],0,1,[0.0]
1512,400585668,11/14/14,Kansas,5,UCSB,NR,1,0,[1.0],0,1,[0.0]
1514,400585669,11/14/14,Oklahoma State,NR,SE Louisiana,NR,1,0,[1.0],0,1,[0.0]
1517,400585670,11/14/14,Kansas State,NR,Southern Utah,NR,1,0,[1.0],0,1,[0.0]
1519,400585671,11/14/14,Baylor,NR,McNeese State,NR,1,0,[1.0],0,1,[0.0]
1518,400585672,11/14/14,Texas Tech,NR,Loyola (MD),NR,1,0,[1.0],0,1,[0.0]
1515,400585673,11/14/14,TCU,NR,PV A&M,NR,1,0,[1.0],0,1,[0.0]
1516,400585674,11/14/14,Texas,10,North Dakota St,NR,1,0,[1.0],0,1,[0.0]
1511,400585675,11/14/14,West Virginia,NR,Monmouth,NR,1,0,[1.0],0,1,[0.0]
1520,400585676,11/16/14,Oklahoma,19,SE Louisiana,NR,1,0,[1.0],0,2,[0.0]
1522,400585678,11/16/14,Texas,10,Alcorn State,NR,2,0,[1.0],0,2,[0.0]
1521,400585679,11/16/14,West Virginia,NR,Lafayette,NR,2,0,[1.0],1,1,[0.5]
1523,400585680,11/17/14,Kansas State,NR,UMKC,NR,2,0,[1.0],1,1,[0.5]
1525,400585681,11/17/14,Iowa State,14,Georgia State,NR,2,0,[1.0],1,1,[0.5]
1273,400585682,11/17/14,TCU,NR,Washington St,NR,2,0,[1.0],0,2,[0.0]
708,400585683,11/18/14,South Carolina,NR,Baylor,NR,1,1,[0.5],2,0,[1.0]
1527,400585684,11/18/14,Oklahoma State,NR,NW Oklahoma St,NR,3,0,[1.0], ,,[0.0]
710,400585685,11/18/14,Kentucky,1,Kansas,5,3,0,[1.0],1,1,[0.5]
711,400585686,11/18/14,LSU,NR,Texas Tech,NR,2,0,[1.0],1,1,[0.5]
1530,400585687,11/19/14,Creighton,NR,Oklahoma,18,3,0,[1.0],1,1,[0.5]
426,400585688,11/20/14,Iowa,NR,Texas,10,2,1,[0.6666666666666666],3,0,[1.0]
1009,400585689,11/20/14,West Virginia,NR,George Mason,NR,3,0,[1.0],1,2,[0.3333333333333333]
1533,400585690,11/20/14,TCU,NR,New Orleans,NR,3,0,[1.0],1,1,[0.5]
1537,400585691,11/21/14,Oklahoma State,NR,Milwaukee,NR,4,0,[1.0],1,3,[0.25]
1535,400585693,11/21/14,Baylor,NR,PV A&M,NR,3,0,[1.0],0,4,[0.0]
1538,400585695,11/23/14,Oklahoma,18,Northwestern St,NR,2,1,[0.6666666666666666],2,2,[0.5]
441,400585696,11/24/14,Kansas State,NR,Purdue,NR,3,1,[0.75],3,1,[0.75]
1541,400585697,11/24/14,Kansas,11,Rider,NR,2,1,[0.6666666666666666],2,2,[0.5]
1298,400585698,11/24/14,Oklahoma State,NR,Oregon State,NR,5,0,[1.0],3,1,[0.75]
739,400585699,11/24/14,Iowa State,13,Alabama,NR,3,0,[1.0],3,1,[0.75]
1542,400585700,11/24/14,Baylor,NR,SF Austin,NR,4,0,[1.0],1,3,[0.25]
1552,400585701,11/26/14,TCU,NR,Radford,NR,5,0,[1.0],2,3,[0.4]
1548,400585702,11/25/14,Texas Tech,NR,Northwestern St,NR,3,1,[0.75],2,3,[0.4]
1547,400585703,11/25/14,Texas,7,St Francis (PA),NR,5,0,[1.0],2,3,[0.4]
1306,400585704,11/26/14,UCLA,22,Oklahoma,NR,4,1,[0.8],3,1,[0.75]
1543,400585705,11/24/14,TCU,NR,Miss Valley St,NR,4,0,[1.0],0,4,[0.0]
1551,400585706,11/26/14,West Virginia,21,VMI,NR,6,0,[1.0],2,3,[0.4]
1034,400585707,11/27/14,URI,NR,Kansas,11,3,1,[0.75],3,1,[0.75]
1561,400585710,11/29/14,West Virginia,21,Charleston,NR,7,0,[1.0],2,4,[0.3333333333333333]
1562,400585711,11/30/14,UConn,24,Texas,7,3,2,[0.6],6,0,[1.0]
1564,400585712,11/30/14,Texas Tech,NR,Air Force,NR,4,1,[0.8],3,3,[0.5]
1565,400585713,12/1/14,Baylor,NR,Texas Southern,NR,6,1,[0.8571428571428571],1,6,[0.14285714285714285]
1567,400585714,12/2/14,Iowa State,20,Lamar,NR,4,1,[0.8],2,5,[0.2857142857142857]
1568,400585715,12/2/14,Kansas State,NR,Omaha,NR,4,3,[0.5714285714285714],3,3,[0.5]
