Game_id,Date,HomeTeam,HomeRank,HomeRecord,AwayTeam,AwayRank,AwayRecord
400585675,2014-11-14,West Virginia,NR,"(1-0, 1-0 home)",Monmouth,NR,"(0-1, 0-1 away)"
400585668,2014-11-14,Kansas,5,"(1-0, 1-0 home)",UCSB,NR,"(0-1, 0-1 away)"
400585667,2014-11-14,Iowa State,14,"(1-0, 1-0 home)",Oakland,NR,"(0-1, 0-1 away)"
400585669,2014-11-14,Oklahoma State,NR,"(1-0, 1-0 home)",SE Louisiana,NR,"(0-1, 0-1 away)"
400585673,2014-11-14,TCU,NR,"(1-0, 1-0 home)",PV A&M;,NR,"(0-1, 0-1 away)"
400585674,2014-11-14,Texas,10,"(1-0, 1-0 home)",North Dakota St,NR,"(0-1, 0-1 away)"
400585670,2014-11-14,Kansas State,NR,"(1-0, 1-0 home)",Southern Utah,NR,"(0-1, 0-1 away)"
400585672,2014-11-14,Texas Tech,NR,"(1-0, 1-0 home)",Loyola (MD),NR,"(0-1, 0-1 away)"
400585671,2014-11-14,Baylor,NR,"(1-0, 1-0 home)",McNeese State,NR,"(0-1, 0-1 away)"
400585676,2014-11-16,Oklahoma,19,"(1-0, 1-0 home)",SE Louisiana,NR,"(0-2, 0-2 away)"
400585679,2014-11-16,West Virginia,NR,"(2-0, 2-0 home)",Lafayette,NR,"(1-1, 1-1 away)"
400585678,2014-11-16,Texas,10,"(2-0, 2-0 home)",Alcorn State,NR,"(0-2, 0-2 away)"
400585680,2014-11-17,Kansas State,NR,"(2-0, 2-0 home)",UMKC,NR,"(1-1, 1-1 away)"
400585682,2014-11-17,TCU,NR,"(2-0, 2-0 home)",Washington St,NR,"(0-2, 0-2 away)"
400585681,2014-11-17,Iowa State,14,"(2-0, 2-0 home)",Georgia State,NR,"(1-1, 0-1 away)"
400585683,2014-11-18,South Carolina,NR,"(1-1, 1-1 home)",Baylor,NR,"(2-0, 1-0 away)"
400585684,2014-11-18,Oklahoma State,NR,"(3-0, 3-0 home)",NW Oklahoma St,NR, 
400585685,2014-11-18,Kentucky,1,"(3-0, 2-0 home)",Kansas,5,"(1-1, 0-0 away)"
400585686,2014-11-18,LSU,NR,"(2-0, 2-0 home)",Texas Tech,NR,"(1-1, 0-1 away)"
400585687,2014-11-19,Creighton,NR,"(3-0, 3-0 home)",Oklahoma,18,"(1-1, 0-1 away)"
400585688,2014-11-20,Iowa,NR,"(2-1, 2-0 home)",Texas,10,"(3-0, 0-0 away)"
400585689,2014-11-20,West Virginia,NR,"(3-0, 2-0 home)",George Mason,NR,"(1-2, 0-0 away)"
400585690,2014-11-20,TCU,NR,"(3-0, 3-0 home)",New Orleans,NR,"(1-1, 0-1 away)"
400607992,2014-11-21,West Virginia,NR,"(4-0, 2-0 home)",Boston College,NR,"(2-2, 0-0 away)"
400585693,2014-11-21,Baylor,NR,"(3-0, 2-0 home)",PV A&M;,NR,"(0-4, 0-4 away)"
400607995,2014-11-21,Cal,NR,"(3-1, 2-0 home)",Texas,10,"(4-0, 0-0 away)"
400585691,2014-11-21,Oklahoma State,NR,"(4-0, 4-0 home)",Milwaukee,NR,"(1-3, 0-2 away)"
400585695,2014-11-23,Oklahoma,18,"(2-1, 2-0 home)",Northwestern St,NR,"(2-2, 1-2 away)"
400608189,2014-11-23,West Virginia,NR,"(5-0, 2-0 home)",UConn,17,"(3-1, 0-0 away)"
400585696,2014-11-24,Kansas State,NR,"(3-1, 2-0 home)",Purdue,NR,"(3-1, 0-0 away)"
400585697,2014-11-24,Kansas,11,"(2-1, 2-0 home)",Rider,NR,"(2-2, 1-2 away)"
400585700,2014-11-24,Baylor,NR,"(4-0, 3-0 home)",SF Austin,NR,"(1-3, 0-2 away)"
400585705,2014-11-24,TCU,NR,"(4-0, 4-0 home)",Miss Valley St,NR,"(0-4, 0-4 away)"
400585698,2014-11-24,Oklahoma State,NR,"(5-0, 4-0 home)",Oregon State,NR,"(3-1, 0-0 away)"
400585699,2014-11-24,Iowa State,13,"(3-0, 2-0 home)",Alabama,NR,"(3-1, 0-0 away)"
400608449,2014-11-25,Arizona,3,"(5-0, 3-0 home)",Kansas State,NR,"(3-2, 0-1 away)"
400585703,2014-11-25,Texas,7,"(5-0, 3-0 home)",St Francis (PA),NR,"(2-3, 0-3 away)"
400585702,2014-11-25,Texas Tech,NR,"(3-1, 3-0 home)",Northwestern St,NR,"(2-3, 1-3 away)"
400608478,2014-11-25,Iowa State,13,"(3-1, 2-0 home)",Maryland,NR,"(5-0, 0-0 away)"
400585704,2014-11-26,UCLA,22,"(4-1, 4-0 home)",Oklahoma,NR,"(3-1, 0-1 away)"
400585706,2014-11-26,West Virginia,21,"(6-0, 2-0 home)",VMI,NR,"(2-3, 0-1 away)"
400585701,2014-11-26,TCU,NR,"(5-0, 5-0 home)",Radford,NR,"(2-3, 0-3 away)"
400608747,2014-11-26,Pitt,NR,"(4-2, 2-0 home)",Kansas State,NR,"(3-3, 0-1 away)"
400608513,2014-11-26,Oklahoma State,NR,"(6-0, 4-0 home)",Tulsa,NR,"(3-2, 0-1 away)"
400608757,2014-11-27,Oklahoma,NR,"(4-1, 2-0 home)",Butler,NR,"(4-1, 0-0 away)"
400585707,2014-11-27,URI,NR,"(3-1, 3-0 home)",Kansas,11,"(3-1, 0-0 away)"
400608901,2014-11-28,Kansas,11,"(4-1, 2-0 home)",Tennessee,NR,"(2-2, 0-0 away)"
400608898,2014-11-28,Wisconsin,2,"(7-0, 4-0 home)",Oklahoma,NR,"(4-2, 0-1 away)"
400600630,2014-11-28,TCU,NR,"(6-0, 5-0 home)",Bradley,NR,"(2-3, 0-0 away)"
400609062,2014-11-29,TCU,NR,"(7-0, 5-0 home)",Miss St,NR,"(5-1, 0-0 away)"
400585710,2014-11-29,West Virginia,21,"(7-0, 3-0 home)",Charleston,NR,"(2-4, 1-1 away)"
400585711,2014-11-30,UConn,24,"(3-2, 1-1 home)",Texas,7,"(6-0, 1-0 away)"
400609032,2014-11-30,Michigan State,20,"(5-2, 2-0 home)",Kansas,11,"(5-1, 0-0 away)"
400585712,2014-11-30,Texas Tech,NR,"(4-1, 4-0 home)",Air Force,NR,"(3-3, 0-3 away)"
400585713,2014-12-01,Baylor,NR,"(6-1, 4-0 home)",Texas Southern,NR,"(1-6, 0-6 away)"
400585716,2014-12-02,Texas,6,"(7-0, 4-0 home)",UT-Arlington,NR,"(3-4, 2-3 away)"
400585714,2014-12-02,Iowa State,20,"(4-1, 3-0 home)",Lamar,NR,"(2-5, 1-5 away)"
400585715,2014-12-02,Kansas State,NR,"(4-3, 3-0 home)",Omaha,NR,"(3-3, 1-3 away)"
400585718,2014-12-03,Texas Tech,NR,"(5-1, 5-0 home)",Auburn,NR,"(3-3, 0-2 away)"
