Game_id,Date,HomeTeam,HomeRank,HomeRecord,AwayTeam,AwayRank,AwayRecord
400585874,2014-11-14,Xavier,NR,"(1-0, 1-0 home)",N Arizona,NR,"(0-1, 0-1 away)"
400588485,2014-11-14,St John's,NR,"(1-0, 1-0 home)",NJIT,NR,"(0-1, 0-1 away)"
400587025,2014-11-14,Villanova,12,"(1-0, 0-0 home)",Lehigh,NR,"(0-1, 0-0 away)"
400588321,2014-11-14,Marquette,NR,"(1-0, 1-0 home)",UT Martin,NR,"(0-1, 0-1 away)"
400588322,2014-11-14,DePaul,NR,"(1-0, 1-0 home)",UIC,NR,"(0-1, 0-1 away)"
400588324,2014-11-15,Butler,NR,"(1-0, 1-0 home)",Maine,NR,"(0-1, 0-1 away)"
400588325,2014-11-15,Providence,NR,"(1-0, 1-0 home)",Albany,NR,"(0-1, 0-1 away)"
400588326,2014-11-16,Seton Hall,NR,"(1-0, 1-0 home)",Mercer,NR,"(1-1, 0-1 away)"
400588327,2014-11-16,Creighton,NR,"(2-0, 2-0 home)",Chicago State,NR,"(0-2, 0-2 away)"
400588328,2014-11-17,Villanova,12,"(2-0, 1-0 home)",MD-E Shore,NR,"(0-2, 0-2 away)"
400588329,2014-11-17,St John's,NR,"(2-0, 2-0 home)",Franklin Pierce,NR, 
400588330,2014-11-17,Providence,NR,"(2-0, 2-0 home)",Binghamton,NR,"(0-2, 0-2 away)"
400588331,2014-11-18,Xavier,NR,"(2-0, 2-0 home)",LBSU,NR,"(1-2, 0-2 away)"
400588333,2014-11-18,OSU,20,"(2-0, 2-0 home)",Marquette,NR,"(1-1, 0-1 away)"
400586302,2014-11-18,DePaul,NR,"(2-0, 2-0 home)",Drake,NR,"(0-2, 0-1 away)"
400588334,2014-11-18,Butler,NR,"(2-0, 2-0 home)",Chattanooga,NR,"(1-2, 0-2 away)"
400588335,2014-11-19,St John's,NR,"(3-0, 3-0 home)",LIU Brooklyn,NR,"(0-1, 0-1 away)"
400585687,2014-11-19,Creighton,NR,"(3-0, 3-0 home)",Oklahoma,18,"(1-1, 0-1 away)"
400587042,2014-11-20,Providence,NR,"(3-0, 3-0 home)",Navy,NR,"(0-3, 0-2 away)"
400587043,2014-11-20,Villanova,12,"(3-0, 2-0 home)",Bucknell,NR,"(1-2, 0-2 away)"
400588336,2014-11-21,Nevada,NR,"(2-1, 2-0 home)",Seton Hall,NR,"(2-0, 0-0 away)"
400588337,2014-11-21,Xavier,NR,"(3-0, 3-0 home)",SF Austin,NR,"(1-2, 0-1 away)"
400586882,2014-11-22,Marquette,NR,"(1-2, 1-1 home)",Omaha,NR,"(2-1, 1-1 away)"
400587783,2014-11-22,Providence,NR,"(4-0, 3-0 home)",FSU,NR,"(1-2, 0-0 away)"
400587047,2014-11-22,Butler,NR,"(3-0, 3-0 home)",Loyola (MD),NR,"(2-2, 0-2 away)"
400587787,2014-11-23,Notre Dame,NR,"(4-1, 3-0 home)",Providence,NR,"(5-0, 0-0 away)"
400608203,2014-11-23,Seton Hall,NR,"(3-0, 1-0 home)",Gardner-Webb,NR,"(2-2, 1-1 away)"
400588341,2014-11-24,VCU,14,"(3-1, 2-0 home)",Villanova,12,"(4-0, 0-0 away)"
400588340,2014-11-24,Xavier,NR,"(4-0, 4-0 home)",Murray State,NR,"(2-2, 1-1 away)"
400588342,2014-11-24,Marquette,NR,"(2-2, 2-1 home)",NJIT,NR,"(1-4, 0-3 away)"
400608418,2014-11-24,Illinois State,NR,"(2-2, 0-1 home)",Seton Hall,NR,"(4-0, 0-0 away)"
400588343,2014-11-25,Creighton,23,"(5-0, 5-0 home)",E Illinois,NR,"(1-4, 0-3 away)"
400608480,2014-11-25,Michigan,19,"(4-1, 3-0 home)",Villanova,12,"(5-0, 0-0 away)"
400587794,2014-11-26,Butler,NR,"(4-0, 3-0 home)",UNC,5,"(3-1, 0-0 away)"
400588344,2014-11-26,Minnesota,NR,"(3-2, 3-0 home)",St John's,NR,"(4-0, 0-0 away)"
400587064,2014-11-26,DePaul,NR,"(2-1, 2-1 home)",Lehigh,NR,"(1-4, 1-1 away)"
400588345,2014-11-26,Florida,18,"(2-2, 2-1 home)",Georgetown,NR,"(4-0, 0-0 away)"
400608757,2014-11-27,Oklahoma,NR,"(4-1, 2-0 home)",Butler,NR,"(4-1, 0-0 away)"
400608870,2014-11-27,Wisconsin,2,"(6-0, 4-0 home)",Georgetown,NR,"(4-1, 0-0 away)"
400587239,2014-11-27,Xavier,NR,"(5-0, 4-0 home)",San Diego,NR,"(3-2, 0-0 away)"
400587800,2014-11-27,Georgia Tech,NR,"(3-1, 3-0 home)",Marquette,NR,"(3-2, 0-1 away)"
400608897,2014-11-28,Georgetown,NR,"(4-2, 3-0 home)",Butler,NR,"(5-1, 0-0 away)"
400608899,2014-11-28,Xavier,NR,"(5-1, 4-0 home)",UTEP,NR,"(4-0, 0-0 away)"
400588346,2014-11-28,Providence,NR,"(6-0, 4-0 home)",Yale,NR,"(5-2, 1-2 away)"
400608873,2014-11-28,Gonzaga,10,"(6-0, 4-0 home)",St John's,NR,"(4-1, 0-0 away)"
400608906,2014-11-28,Marquette,NR,"(3-3, 2-1 home)",Michigan State,20,"(5-1, 1-0 away)"
400588348,2014-11-29,Seton Hall,NR,"(5-0, 2-0 home)",G Washington,NR,"(3-2, 1-2 away)"
400609028,2014-11-29,Creighton,23,"(6-1, 5-0 home)",Mid Tennessee,NR,"(3-3, 0-0 away)"
400588349,2014-11-30,Kentucky,1,"(7-0, 6-0 home)",Providence,NR,"(6-1, 0-1 away)"
400588350,2014-11-30,DePaul,NR,"(3-1, 3-1 home)",Stanford,NR,"(4-2, 0-1 away)"
400609033,2014-11-30,Marquette,NR,"(4-3, 2-1 home)",Tennessee,NR,"(2-3, 0-0 away)"
400588351,2014-11-30,Villanova,12,"(6-0, 3-0 home)",Delaware,NR,"(0-5, 0-5 away)"
400609072,2014-11-30,LBSU,NR,"(4-4, 2-0 home)",Xavier,NR,"(5-2, 0-0 away)"
400586160,2014-12-02,St John's,NR,"(5-1, 4-0 home)",Niagara,NR,"(1-4, 1-0 MAAC)"
400588352,2014-12-02,Seton Hall,NR,"(6-0, 3-0 home)",Mt St Mary's,NR,"(1-4, 1-3 away)"
400587425,2014-12-02,DePaul,NR,"(4-1, 4-1 home)",N Illinois,NR,"(3-2, 0-2 away)"
400586338,2014-12-03,Indiana State,NR,"(3-4, 2-2 home)",Butler,23,"(6-1, 1-0 away)"
400588353,2014-12-03,La Salle,NR,"(4-3, 3-1 home)",Villanova,10,"(7-0, 1-0 away)"
400587823,2014-12-05,Boston College,NR,"(4-3, 3-0 home)",Providence,NR,"(6-2, 0-2 away)"
400588355,2014-12-06,Seton Hall,NR,"(7-0, 4-0 home)",Rutgers,NR,"(4-4, 1-1 away)"
400588356,2014-12-06,Marquette,NR,"(4-4, 2-2 home)",Wisconsin,2,"(8-1, 1-0 away)"
400588357,2014-12-06,Villanova,10,"(8-0, 4-0 home)",Saint Joe's,NR,"(4-4, 1-2 away)"
400588358,2014-12-06,Butler,23,"(7-1, 4-0 home)",Northwestern,NR,"(5-3, 1-1 away)"
400587828,2014-12-06,Syracuse,NR,"(5-3, 4-1 home)",St John's,NR,"(6-1, 1-0 away)"
400588362,2014-12-07,Georgetown,NR,"(5-2, 4-0 home)",Towson,NR,"(7-2, 3-2 away)"
400588360,2014-12-07,DePaul,NR,"(6-1, 5-1 home)",Milwaukee,NR,"(4-5, 0-3 away)"
400588361,2014-12-07,Nebraska,NR,"(5-2, 4-1 home)",Creighton,NR,"(7-2, 1-1 away)"
400588363,2014-12-08,Butler,15,"(8-1, 5-0 home)",Kennesaw St,NR,"(3-7, 0-6 away)"
400588364,2014-12-08,Providence,NR,"(6-3, 4-1 home)",Brown,NR,"(5-6, 1-3 away)"
400588365,2014-12-09,Illinois,NR,"(7-2, 5-0 home)",Villanova,7,"(9-0, 1-0 away)"
400586353,2014-12-09,Wichita State,11,"(6-1, 5-0 home)",Seton Hall,NR,"(7-1, 0-1 away)"
400586916,2014-12-09,Xavier,NR,"(7-2, 6-0 home)",IUPUI,NR,"(2-6, 1-4 away)"
400586914,2014-12-09,Creighton,NR,"(8-2, 6-0 home)",South Dakota,NR,"(3-7, 2-4 away)"
400585733,2014-12-10,Georgetown,NR,"(5-3, 4-1 home)",Kansas,10,"(7-1, 1-0 away)"
400588366,2014-12-10,Providence,NR,"(7-3, 5-1 home)",URI,NR,"(5-3, 1-1 away)"
400588367,2014-12-10,St John's,24,"(7-1, 5-0 home)",Fair Dickinson,NR,"(3-5, 1-4 away)"
400588368,2014-12-11,G Washington,NR,"(6-2, 4-0 home)",DePaul,NR,"(6-2, 1-1 away)"
400588369,2014-12-13,Georgetown,NR,"(6-3, 5-1 home)",Radford,NR,"(5-4, 1-4 away)"
400588370,2014-12-13,Providence,NR,"(8-3, 6-1 home)",Stony Brook,NR,"(5-5, 0-5 away)"
400587258,2014-12-13,Creighton,NR,"(8-3, 6-1 home)",Saint Mary's,NR,"(6-1, 1-0 away)"
400588371,2014-12-13,Missouri,NR,"(5-5, 4-2 home)",Xavier,NR,"(8-2, 1-0 away)"
400586726,2014-12-14,Villanova,7,"(10-0, 5-0 home)",Temple,NR,"(6-4, 0-2 away)"
400588373,2014-12-14,Tennessee,NR,"(4-3, 3-0 home)",Butler,15,"(8-2, 1-1 away)"
400588372,2014-12-14,St John's,24,"(8-1, 6-0 home)",Fordham,NR,"(3-5, 0-3 away)"
400586362,2014-12-14,DePaul,NR,"(6-3, 5-2 home)",Illinois State,NR,"(5-3, 2-0 away)"
400588374,2014-12-16,Marquette,NR,"(5-4, 3-2 home)",Arizona State,NR,"(6-4, 0-2 away)"
400586735,2014-12-18,USF,NR,"(5-5, 4-2 home)",Seton Hall,NR,"(9-1, 1-1 away)"
400588375,2014-12-18,Oregon State,NR,"(8-2, 7-0 home)",DePaul,NR,"(6-4, 1-2 away)"
400587267,2014-12-19,St John's,20,"(9-1, 7-0 home)",Saint Mary's,NR,"(6-3, 1-1 away)"
400588376,2014-12-19,Marquette,NR,"(6-4, 4-2 home)",Alabama A&M;,NR,"(1-7, 0-6 away)"
400588378,2014-12-20,Georgetown,NR,"(7-3, 6-1 home)",Charlotte,NR,"(6-5, 2-2 away)"
400587863,2014-12-20,Villanova,7,"(11-0, 6-0 home)",Syracuse,NR,"(6-4, 0-2 away)"
400588379,2014-12-20,Providence,NR,"(9-3, 7-1 home)",UMass,NR,"(6-5, 0-3 away)"
400588380,2014-12-20,Butler,23,"(8-3, 5-0 home)",Indiana,NR,"(9-2, 0-0 away)"
400588381,2014-12-20,Auburn,NR,"(5-5, 4-1 home)",Xavier,NR,"(8-3, 1-1 away)"
400588383,2014-12-21,North Texas,NR,"(6-4, 6-1 home)",Creighton,NR,"(9-4, 1-2 away)"
400588382,2014-12-21,Georgia,NR,"(6-3, 5-0 home)",Seton Hall,NR,"(9-2, 1-2 away)"
