Game_id,Date,HomeTeam,HomeRank,AwayTeam,AwayRank,Wins_Home,Losses_Home,Win Percent,Wins_Visitor,Losses_Visitor,Visitor Win Percentage
400587747,2014-11-14,Duke,4,Presbyterian,NR,1,0,[1.0],0,1,[0.0]
400587753,2014-11-14,JMU,NR,UVA,9,0,1,[0.0],1,0,[1.0]
400588634,2014-11-14,Syracuse,23,Kennesaw St,NR,1,0,[1.0],0,1,[0.0]
400586109,2014-11-14,Pitt,NR,Niagara,NR,1,0,[1.0],0,1,[0.0]
400587749,2014-11-14,VT,NR,MD-E Shore,NR,1,0,[1.0],0,1,[0.0]
400587751,2014-11-14,Clemson,NR,Florida A&M;,NR,1,0,[1.0],0,1,[0.0]
400587752,2014-11-14,Georgia Tech,NR,Georgia,NR,1,0,[1.0],0,1,[0.0]
400587754,2014-11-14,Wake Forest,NR,UNC Asheville,NR,1,0,[1.0],0,1,[0.0]
400587756,2014-11-14,Miami (FL),NR,Howard,NR,1,0,[1.0],0,1,[0.0]
400587757,2014-11-14,NC State,NR,Jackson State,NR,1,0,[1.0],0,1,[0.0]
400587748,2014-11-14,Louisville,8,Minnesota,NR,1,0,[1.0],0,1,[0.0]
400587755,2014-11-14,UNC,6,NC Central,NR,1,0,[1.0],0,1,[0.0]
400587758,2014-11-14,Notre Dame,NR,Binghamton,NR,1,0,[1.0],0,1,[0.0]
400586115,2014-11-15,FSU,NR,Manhattan,NR,1,0,[1.0],0,1,[0.0]
400586117,2014-11-15,Duke,4,Fairfield,NR,2,0,[1.0],1,1,[0.5]
400587762,2014-11-16,Pitt,NR,Samford,NR,2,0,[1.0],0,2,[0.0]
400587030,2014-11-16,Notre Dame,NR,Navy,NR,2,0,[1.0],0,2,[0.0]
400587759,2014-11-16,UMass,NR,Boston College,NR,2,1,[0.6666666666666666],2,0,[1.0]
400598551,2014-11-16,Syracuse,23,Hampton,NR,2,0,[1.0],0,2,[0.0]
400587760,2014-11-16,UNC,6,Robert Morris,NR,2,0,[1.0],0,2,[0.0]
400587761,2014-11-16,UVA,9,Norfolk State,NR,2,0,[1.0],1,1,[0.5]
