Game_id,Date,HomeTeam,HomeRank,HomeRecord,AwayTeam,AwayRank,AwayRecord
400591790,2014-11-14,Arizona,2,"(1-0, 1-0 home)",Mt St Mary's,NR,"(0-1, 0-1 away)"
400593187,2014-11-14,Colorado,NR,"(1-0, 1-0 home)",Drexel,NR,"(0-1, 0-1 away)"
400587388,2014-11-14,Utah,25,"(1-0, 1-0 home)",Ball State,NR,"(0-1, 0-1 away)"
400589701,2014-11-14,Arizona State,NR,"(1-0, 1-0 home)",Chicago State,NR,"(0-1, 0-1 away)"
400591060,2014-11-14,Cal,NR,"(1-0, 1-0 home)",Alcorn State,NR,"(0-1, 0-1 away)"
400591337,2014-11-14,Oregon State,NR,"(1-0, 1-0 home)",Rice,NR,"(0-1, 0-1 away)"
400591339,2014-11-14,UTEP,NR,"(1-0, 1-0 home)",Washington St,NR,"(0-1, 0-1 away)"
400593188,2014-11-14,Washington,NR,"(1-0, 1-0 home)",S Carolina St,NR,"(0-1, 0-1 away)"
400585871,2014-11-14,UCLA,NR,"(1-0, 1-0 home)",Montana State,NR,"(0-1, 0-1 away)"
400589074,2014-11-14,Stanford,NR,"(1-0, 1-0 home)",Wofford,NR,"(0-1, 0-1 away)"
400598549,2014-11-14,Oregon,NR,"(1-0, 1-0 home)",Coppin State,NR,"(0-1, 0-1 away)"
400585879,2014-11-15,USC,NR,"(0-1, 0-1 home)",Portland State,NR,"(1-0, 1-0 away)"
400586869,2014-11-16,Stanford,NR,"(2-0, 2-0 home)",South Dakota,NR,"(0-2, 0-2 away)"
400593190,2014-11-16,Arizona,2,"(2-0, 2-0 home)",CS Northridge,NR,"(0-2, 0-2 away)"
400588639,2014-11-16,Cal,NR,"(2-0, 2-0 home)",Kennesaw St,NR,"(0-2, 0-2 away)"
400589249,2014-11-16,UCLA,NR,"(2-0, 2-0 home)",Coast Carolina,NR,"(1-1, 0-1 away)"
400585682,2014-11-17,TCU,NR,"(2-0, 2-0 home)",Washington St,NR,"(0-2, 0-2 away)"
400593191,2014-11-17,Arizona State,NR,"(2-0, 2-0 home)",Bethune-Cookman,NR,"(1-1, 0-1 away)"
400593192,2014-11-17,Oregon,NR,"(2-0, 2-0 home)",Detroit,NR,"(1-1, 0-1 away)"
400593193,2014-11-17,USC,NR,"(1-1, 1-1 home)",Tenn Tech,NR,"(1-1, 0-1 away)"
400593194,2014-11-17,Colorado,NR,"(2-0, 2-0 home)",Auburn,NR,"(1-1, 0-1 away)"
400591558,2014-11-18,San Diego State,16,"(2-0, 2-0 home)",Utah,25,"(1-1, 0-1 away)"
400593195,2014-11-18,Oregon State,NR,"(2-0, 2-0 home)",Corban U,NR, 
400593196,2014-11-19,Arizona,2,"(3-0, 3-0 home)",UC Irvine,NR,"(2-1, 0-1 away)"
400587401,2014-11-20,Akron,NR,"(2-0, 1-0 home)",USC,NR,"(1-2, 0-0 away)"
400587227,2014-11-20,Arizona State,NR,"(3-0, 3-0 home)",Loyola Mary,NR,"(1-2, 0-1 away)"
400587777,2014-11-20,Cal,NR,"(3-0, 2-0 home)",Syracuse,23,"(2-1, 0-0 away)"
