Game_id,Date,HomeTeam,HomeRank,HomeRecord,AwayTeam,AwayRank,AwayRecord
400597287,2014-11-14,Florida,7,"(1-0, 1-0 home)",William & Mary,NR,"(0-1, 0-1 away)"
400591082,2014-11-14,VCU,15,"(1-0, 0-0 home)",Tennessee,NR,"(0-1, 0-0 away)"
400589073,2014-11-14,Miss St,NR,"(1-0, 1-0 home)",W Carolina,NR,"(0-1, 0-1 away)"
400587752,2014-11-14,Georgia Tech,NR,"(1-0, 1-0 home)",Georgia,NR,"(0-1, 0-1 away)"
400588631,2014-11-14,South Carolina,NR,"(1-0, 1-0 home)",North Florida,NR,"(0-1, 0-1 away)"
400589239,2014-11-14,Ole Miss,NR,"(0-1, 0-1 home)",Charleston So,NR,"(1-0, 1-0 away)"
400589702,2014-11-14,Kentucky,1,"(1-0, 1-0 home)",Grand Canyon,NR,"(0-1, 0-1 away)"
400595561,2014-11-14,Texas A&M;,NR,"(1-0, 1-0 home)",Northwestern St,NR,"(0-1, 0-1 away)"
400589703,2014-11-14,Missouri,NR,"(0-1, 0-1 home)",UMKC,NR,"(1-0, 1-0 away)"
400597288,2014-11-14,Alabama,NR,"(1-0, 1-0 home)",Towson,NR,"(0-1, 0-1 away)"
400597289,2014-11-14,Auburn,NR,"(1-0, 1-0 home)",Milwaukee,NR,"(0-1, 0-1 away)"
400589246,2014-11-15,LSU,NR,"(1-0, 1-0 home)",Gardner-Webb,NR,"(0-1, 0-1 away)"
400587392,2014-11-16,Kentucky,1,"(2-0, 2-0 home)",Buffalo,NR,"(1-1, 0-1 away)"
400597290,2014-11-16,Vanderbilt,NR,"(1-0, 1-0 home)",Trevecca,NR, 
400597292,2014-11-16,Arkansas,NR,"(1-0, 1-0 home)",Alabama State,NR,"(1-1, 0-1 away)"
400597291,2014-11-16,Missouri,NR,"(1-1, 1-1 home)",Valparaiso,NR,"(1-1, 0-1 away)"
400587764,2014-11-17,Florida,8,"(1-1, 1-1 home)",Miami (FL),NR,"(2-0, 1-0 away)"
400595190,2014-11-17,Troy,NR,"(1-1, 1-1 home)",Ole Miss,NR,"(1-1, 1-0 away)"
400597293,2014-11-17,Miss St,NR,"(2-0, 2-0 home)",Miss Valley St,NR,"(0-2, 0-2 away)"
400589077,2014-11-17,Alabama,NR,"(2-0, 2-0 home)",W Carolina,NR,"(0-2, 0-2 away)"
400593194,2014-11-17,Colorado,NR,"(2-0, 2-0 home)",Auburn,NR,"(1-1, 0-1 away)"
400585683,2014-11-18,South Carolina,NR,"(1-1, 1-1 home)",Baylor,NR,"(2-0, 1-0 away)"
400597294,2014-11-18,Georgia,NR,"(1-1, 1-0 home)",Stony Brook,NR,"(1-1, 0-1 away)"
400585685,2014-11-18,Kentucky,1,"(3-0, 2-0 home)",Kansas,5,"(1-1, 0-0 away)"
400585686,2014-11-18,LSU,NR,"(2-0, 2-0 home)",Texas Tech,NR,"(1-1, 0-1 away)"
400586873,2014-11-19,Missouri,NR,"(2-1, 2-1 home)",Oral Roberts,NR,"(1-1, 0-1 away)"
400587774,2014-11-19,Arkansas,NR,"(2-0, 2-0 home)",Wake Forest,NR,"(2-1, 1-1 away)"
400591096,2014-11-20,Dayton,NR,"(2-0, 1-0 home)",Texas A&M;,NR,"(1-1, 0-0 away)"
400597295,2014-11-20,Tennessee,NR,"(1-1, 1-0 home)",Texas Southern,NR,"(0-3, 0-3 away)"
400591258,2014-11-20,South Carolina,NR,"(2-1, 1-1 home)",Cornell,NR,"(2-2, 1-1 away)"
400591009,2014-11-20,Ole Miss,NR,"(2-1, 1-1 home)",Southern,NR,"(1-2, 0-1 away)"
400588648,2014-11-20,Vanderbilt,NR,"(2-0, 2-0 home)",Lipscomb,NR,"(1-2, 0-1 away)"
400591356,2014-11-20,Alabama,NR,"(3-0, 3-0 home)",Southern Miss,NR,"(2-1, 0-1 away)"
400608011,2014-11-21,Charleston,NR,"(1-3, 0-1 home)",Texas A&M;,NR,"(2-1, 0-0 away)"
400591359,2014-11-21,Old Dominion,NR,"(3-0, 2-0 home)",LSU,NR,"(2-1, 0-0 away)"
400587045,2014-11-21,Kentucky,1,"(4-0, 3-0 home)",Boston U,NR,"(1-2, 1-1 away)"
400595195,2014-11-21,Georgia,NR,"(2-1, 2-0 home)",Troy,NR,"(1-2, 0-1 away)"
400607996,2014-11-21,South Carolina,NR,"(2-2, 1-1 home)",Charlotte,NR,"(3-0, 1-0 away)"
400595197,2014-11-21,Florida,8,"(2-1, 2-1 home)",UL Monroe,NR,"(2-1, 1-1 away)"
400597296,2014-11-21,Arkansas,NR,"(3-0, 3-0 home)",Delaware State,NR,"(2-2, 1-2 away)"
400595196,2014-11-21,Auburn,NR,"(2-1, 2-0 home)",LA-Lafayette,NR,"(1-2, 0-2 away)"
400591564,2014-11-22,Miss St,NR,"(3-0, 3-0 home)",Utah State,NR,"(3-1, 1-1 away)"
400608205,2014-11-22,Weber State,NR,"(1-3, 1-0 home)",LSU,NR,"(3-1, 0-0 away)"
400608196,2014-11-23,New Mexico,NR,"(3-2, 2-0 home)",Texas A&M;,NR,"(3-1, 0-0 away)"
400591363,2014-11-23,Georgia,NR,"(3-1, 3-0 home)",FAU,NR,"(1-3, 0-3 away)"
400585905,2014-11-23,Kentucky,1,"(5-0, 4-0 home)",Montana State,NR,"(0-4, 0-4 away)"
400608190,2014-11-23,South Carolina,NR,"(2-3, 1-1 home)",Akron,NR,"(3-1, 0-0 away)"
400596324,2014-11-23,Vanderbilt,NR,"(3-0, 3-0 home)",Tennessee St,NR,"(2-2, 0-1 away)"
400585906,2014-11-23,Ole Miss,NR,"(3-1, 2-1 home)",N Arizona,NR,"(1-3, 0-3 away)"
400608309,2014-11-24,LSU,NR,"(3-2, 2-0 home)",Clemson,NR,"(3-2, 0-0 away)"
400593201,2014-11-24,Arizona,3,"(4-0, 3-0 home)",Missouri,NR,"(2-2, 0-0 away)"
400597297,2014-11-24,Miss St,NR,"(4-0, 4-0 home)",Clayton,NR, 
400585699,2014-11-24,Iowa State,13,"(3-0, 2-0 home)",Alabama,NR,"(3-1, 0-0 away)"
400608448,2014-11-25,Missouri,NR,"(2-3, 2-1 home)",Purdue,NR,"(4-1, 0-0 away)"
400595205,2014-11-25,Kentucky,1,"(6-0, 5-0 home)",UT-Arlington,NR,"(3-2, 2-1 away)"
400608479,2014-11-25,Arizona State,NR,"(3-2, 3-0 home)",Alabama,NR,"(4-1, 0-0 away)"
400586692,2014-11-25,SMU,NR,"(2-3, 2-1 home)",Arkansas,25,"(4-0, 1-0 away)"
400598558,2014-11-25,Vanderbilt,NR,"(4-0, 4-0 home)",Norfolk State,NR,"(2-3, 0-2 away)"
400608581,2014-11-26,Chaminade,NR, ,Missouri,NR,"(3-3, 0-0 away)"
400589274,2014-11-26,South Carolina,NR,"(3-3, 2-1 home)",UNC Asheville,NR,"(2-3, 1-3 away)"
400608514,2014-11-26,Oregon State,NR,"(3-2, 3-0 home)",Auburn,NR,"(3-2, 0-1 away)"
400588345,2014-11-26,Florida,18,"(2-2, 2-1 home)",Georgetown,NR,"(4-0, 0-0 away)"
400587235,2014-11-26,Gonzaga,10,"(5-0, 4-0 home)",Georgia,NR,"(3-2, 0-1 away)"
400587238,2014-11-27,Tennessee,NR,"(2-1, 1-0 home)",Santa Clara,NR,"(2-3, 0-2 away)"
400608871,2014-11-27,UAB,NR,"(2-4, 2-2 home)",Florida,18,"(3-2, 0-0 away)"
400608901,2014-11-28,Kansas,11,"(4-1, 2-0 home)",Tennessee,NR,"(2-2, 0-0 away)"
400595581,2014-11-28,Texas A&M;,NR,"(4-1, 2-0 home)",New Orleans,NR,"(1-2, 0-2 away)"
400595388,2014-11-28,Rutgers,NR,"(3-2, 2-2 home)",Vanderbilt,NR,"(4-1, 0-0 away)"
400608907,2014-11-28,Florida,18,"(3-3, 2-1 home)",UNC,5,"(5-1, 0-0 away)"
400591372,2014-11-28,Arkansas,25,"(5-0, 4-0 home)",North Texas,NR,"(4-2, 0-1 away)"
400591109,2014-11-28,Saint Louis,NR,"(3-2, 2-1 home)",Miss St,NR,"(5-0, 0-0 away)"
400609057,2014-11-29,Vanderbilt,NR,"(5-1, 4-0 home)",La Salle,NR,"(4-2, 1-0 away)"
400609062,2014-11-29,TCU,NR,"(7-0, 5-0 home)",Miss St,NR,"(5-1, 0-0 away)"
400595590,2014-11-29,LSU,NR,"(4-2, 3-0 home)",McNeese State,NR,"(2-2, 0-2 away)"
400609029,2014-11-29,Ole Miss,NR,"(5-1, 2-1 home)",Cincinnati,NR,"(5-1, 0-0 away)"
400588349,2014-11-30,Kentucky,1,"(7-0, 6-0 home)",Providence,NR,"(6-1, 0-1 away)"
400586154,2014-11-30,Arkansas,25,"(6-0, 5-0 home)",Iona,NR,"(4-2, 2-2 away)"
400609033,2014-11-30,Marquette,NR,"(4-3, 2-1 home)",Tennessee,NR,"(2-3, 0-0 away)"
400591376,2014-12-01,Marshall,NR,"(3-4, 3-3 home)",South Carolina,NR,"(4-3, 1-0 away)"
400589108,2014-12-02,Chattanooga,NR,"(3-5, 3-1 home)",Georgia,NR,"(4-3, 1-1 away)"
400591117,2014-12-02,LSU,NR,"(5-2, 4-0 home)",UMass,NR,"(5-3, 0-2 away)"
400596334,2014-12-02,Missouri,NR,"(4-3, 3-1 home)",SE Missouri St,NR,"(3-4, 1-3 away)"
400586704,2014-12-02,Alabama,NR,"(5-1, 4-0 home)",USF,NR,"(5-2, 1-2 away)"
