Date	GameID	HomeTeam	HomeRank	HomeRecord	AwayTeam	AwayRank	AwayRecord
2014-11-14	400587747	Duke	(4)	(1-0, 1-0 home)	Presbyterian		(0-1, 0-1 away)
2014-11-14	400587753	JMU		(0-1, 0-1 home)	UVA	(9)	(1-0, 1-0 away)
2014-11-14	400588634	Syracuse	(23)	(1-0, 1-0 home)	Kennesaw St		(0-1, 0-1 away)
2014-11-14	400586109	Pitt		(1-0, 1-0 home)	Niagara		(0-1, 0-1 away)
2014-11-14	400587749	VT		(1-0, 1-0 home)	MD-E Shore		(0-1, 0-1 away)
2014-11-14	400587751	Clemson		(1-0, 1-0 home)	Florida A&M;		(0-1, 0-1 away)
2014-11-14	400587752	Georgia Tech		(1-0, 1-0 home)	Georgia		(0-1, 0-1 away)
2014-11-14	400587754	Wake Forest		(1-0, 1-0 home)	UNC Asheville		(0-1, 0-1 away)
2014-11-14	400587756	Miami (FL)		(1-0, 1-0 home)	Howard		(0-1, 0-1 away)
2014-11-14	400587757	NC State		(1-0, 1-0 home)	Jackson State		(0-1, 0-1 away)
2014-11-14	400587748	Louisville	(8)	(1-0, 0-0 home)	Minnesota		(0-1, 0-0 away)
2014-11-14	400587755	UNC	(6)	(1-0, 1-0 home)	NC Central		(0-1, 0-1 away)
2014-11-14	400587758	Notre Dame		(1-0, 1-0 home)	Binghamton		(0-1, 0-1 away)
2014-11-15	400586115	FSU		(1-0, 1-0 home)	Manhattan		(0-1, 0-1 away)
2014-11-15	400586117	Duke	(4)	(2-0, 2-0 home)	Fairfield		(1-1, 0-1 away)
2014-11-16	400587762	Pitt		(2-0, 2-0 home)	Samford		(0-2, 0-2 away)
2014-11-16	400587030	Notre Dame		(2-0, 2-0 home)	Navy		(0-2, 0-1 away)
2014-11-16	400587759	Boston College		(13-19, 4-14 ACC)	UMass		(17-15, 10-8 A 10)
2014-11-16	400598551	Syracuse	(23)	(2-0, 2-0 home)	Hampton		(0-2, 0-2 away)
2014-11-16	400587760	UNC	(6)	(2-0, 2-0 home)	Robert Morris		(0-2, 0-1 away)
2014-11-16	400587761	UVA	(9)	(2-0, 1-0 home)	Norfolk State		(1-1, 0-1 away)
2014-11-17	400587765	Louisville	(7)	(2-0, 1-0 home)	Jacksonville St		(0-2, 0-2 away)
2014-11-17	400587764	Florida	(8)	(1-1, 1-1 home)	Miami (FL)		(2-0, 1-0 away)
2014-11-17	400587763	Clemson		(1-1, 1-1 home)	Winthrop		(2-0, 1-0 away)
2014-11-17	400587766	NC State		(2-0, 2-0 home)	Hofstra		(1-1, 0-1 away)
2014-11-17	400587767	Tulane		(0-1, 0-1 home)	Wake Forest		(2-0, 1-0 away)
2014-11-18	400587768	Duke	(4)	(3-0, 2-0 home)	Michigan State	(19)	(1-1, 1-0 away)
2014-11-18	400587771	UVA	(9)	(3-0, 2-0 home)	S Carolina St		(0-3, 0-3 away)
2014-11-18	400587769	Georgia Tech		(2-0, 2-0 home)	Alabama A&M;		(0-2, 0-2 away)
2014-11-18	400587770	FSU		(1-1, 1-1 home)	Northeastern		(2-0, 1-0 away)
2014-11-19	400587772	Notre Dame		(3-0, 3-0 home)	Coppin State		(0-3, 0-3 away)
2014-11-19	400587773	VT		(2-0, 2-0 home)	Liberty		(2-1, 0-1 away)
2014-11-19	400587774	Arkansas		(2-0, 2-0 home)	Wake Forest		(2-1, 1-1 away)
2014-11-20	400587775	Miami (FL)		(3-0, 1-0 home)	Drexel		(0-3, 0-1 away)
2014-11-20	400587776	Boston College		(2-1, 1-0 home)	New Mexico		(2-1, 0-0 away)
2014-11-20	400587778	NC State		(3-0, 3-0 home)	Jacksonville		(1-3, 0-2 away)
2014-11-20	400587777	Cal		(3-0, 2-0 home)	Syracuse	(23)	(2-1, 0-0 away)
2014-11-21	400589263	Gardner-Webb		(2-1, 0-0 home)	Clemson		(1-2, 0-0 away)
2014-11-21	400607989	Miami (FL)		(4-0, 1-0 home)	Akron		(2-1, 0-0 away)
2014-11-21	400607994	Iowa		(2-2, 2-0 home)	Syracuse	(23)	(3-1, 0-0 away)
2014-11-21	400607992	West Virginia		(4-0, 2-0 home)	Boston College		(2-2, 0-0 away)
2014-11-21	400587781	UVA	(9)	(4-0, 3-0 home)	G Washington		(2-1, 1-1 away)
2014-11-21	400586877	Georgia Tech		(3-0, 3-0 home)	IPFW		(2-1, 1-1 away)
2014-11-21	400586130	Wake Forest		(2-2, 1-1 home)	Iona		(2-1, 1-1 away)
2014-11-21	400587779	Louisville	(7)	(3-0, 2-0 home)	Marshall		(3-1, 0-1 away)
2014-11-21	400586682	Duke	(4)	(4-0, 2-0 home)	Temple		(2-1, 0-0 away)
2014-11-21	400587780	Hawaii		(4-1, 4-1 home)	Pitt		(2-1, 0-1 away)
2014-11-22	400587782	UMass		(3-1, 2-0 home)	Notre Dame		(4-0, 0-0 away)
2014-11-22	400587785	VT		(2-1, 2-1 home)	Appalachian St		(1-2, 1-2 away)
2014-11-22	400587784	Davidson		(2-1, 2-0 home)	UNC	(6)	(3-0, 0-0 away)
2014-11-22	400587783	Providence		(4-0, 3-0 home)	FSU		(1-2, 0-0 away)
2014-11-22	400608204	Nevada		(2-2, 2-0 home)	Clemson		(2-2, 0-0 away)
2014-11-23	400587786	FSU		(1-3, 1-1 home)	UMass		(4-1, 0-0 away)
2014-11-23	400587787	Notre Dame		(4-1, 3-0 home)	Providence		(5-0, 0-0 away)
2014-11-23	400586685	NC State		(4-0, 4-0 home)	USF		(3-1, 1-1 away)
2014-11-23	400608188	Boston College		(2-3, 1-0 home)	Dayton		(3-1, 0-0 away)
2014-11-23	400608191	Charlotte		(3-1, 0-0 home)	Miami (FL)		(5-0, 1-0 away)
