Date	GameID	HomeTeam	HomeRank	HomeRecord	AwayTeam	AwayRank	AwayRecord
2014-11-14	400591790	Arizona	(2)	(1-0, 1-0 home)	Mt St Mary's		(0-1, 0-1 away)
2014-11-14	400593187	Colorado		(1-0, 1-0 home)	Drexel		(0-1, 0-1 away)
2014-11-14	400587388	Utah	(25)	(1-0, 1-0 home)	Ball State		(0-1, 0-1 away)
2014-11-14	400589701	Arizona State		(1-0, 1-0 home)	Chicago State		(0-1, 0-1 away)
2014-11-14	400591060	Cal		(1-0, 1-0 home)	Alcorn State		(0-1, 0-1 away)
2014-11-14	400591337	Oregon State		(1-0, 1-0 home)	Rice		(0-1, 0-1 away)
2014-11-14	400591339	UTEP		(1-0, 1-0 home)	Washington St		(0-1, 0-1 away)
2014-11-14	400593188	Washington		(1-0, 1-0 home)	S Carolina St		(0-1, 0-1 away)
2014-11-14	400585871	UCLA		(1-0, 1-0 home)	Montana State		(0-1, 0-1 away)
2014-11-14	400589074	Stanford		(1-0, 1-0 home)	Wofford		(0-1, 0-1 away)
2014-11-14	400598549	Oregon		(1-0, 1-0 home)	Coppin State		(0-1, 0-1 away)
2014-11-15	400585879	USC		(0-1, 0-1 home)	Portland State		(1-0, 1-0 away)
2014-11-16	400586869	Stanford		(2-0, 2-0 home)	South Dakota		(0-2, 0-2 away)
2014-11-16	400593190	Arizona	(2)	(2-0, 2-0 home)	CS Northridge		(0-2, 0-2 away)
2014-11-16	400588639	Cal		(2-0, 2-0 home)	Kennesaw St		(0-2, 0-2 away)
2014-11-16	400589249	UCLA		(2-0, 2-0 home)	Coast Carolina		(1-1, 0-1 away)
2014-11-17	400585682	TCU		(2-0, 2-0 home)	Washington St		(0-2, 0-2 away)
2014-11-17	400593191	Arizona State		(2-0, 2-0 home)	Bethune-Cookman		(1-1, 0-1 away)
2014-11-17	400593192	Oregon		(2-0, 2-0 home)	Detroit		(1-1, 0-1 away)
2014-11-17	400593193	USC		(1-1, 1-1 home)	Tenn Tech		(1-1, 0-1 away)
2014-11-17	400593194	Colorado		(2-0, 2-0 home)	Auburn		(1-1, 0-1 away)
2014-11-18	400591558	San Diego State	(16)	(2-0, 2-0 home)	Utah	(25)	(1-1, 0-1 away)
2014-11-18	400593195	Oregon State		(2-0, 2-0 home)	Corban U		 
2014-11-19	400593196	Arizona	(2)	(3-0, 3-0 home)	UC Irvine		(2-1, 0-1 away)
2014-11-20	400587401	Akron		(2-0, 1-0 home)	USC		(1-2, 0-0 away)
2014-11-20	400587227	Arizona State		(3-0, 3-0 home)	Loyola Mary		(1-2, 0-1 away)
2014-11-20	400587777	Cal		(3-0, 2-0 home)	Syracuse	(23)	(2-1, 0-0 away)
2014-11-20	400593197	UCLA		(3-0, 3-0 home)	Nicholls State		(0-2, 0-2 away)
2014-11-21	400607988	Drexel		(0-4, 0-1 home)	USC		(2-2, 0-0 away)
2014-11-21	400587402	Oregon		(3-0, 3-0 home)	Toledo		(1-2, 0-2 away)
2014-11-21	400591562	Stanford		(3-0, 2-0 home)	UNLV		(2-1, 0-0 away)
2014-11-21	400607995	Cal		(3-1, 2-0 home)	Texas	(10)	(4-0, 0-0 away)
2014-11-21	400593198	Utah	(25)	(2-1, 2-0 home)	UC Riverside		(1-2, 0-1 away)
2014-11-21	400585902	Washington St		(1-2, 1-0 home)	Idaho State		(0-3, 0-3 away)
2014-11-21	400586879	Oregon State		(3-0, 3-0 home)	Oral Roberts		(1-2, 0-2 away)
2014-11-21	400590732	Seattle		(1-2, 1-2 home)	Washington		(2-0, 1-0 away)
2014-11-22	400591568	Wyoming		(3-0, 3-0 home)	Colorado		(2-1, 0-1 away)
2014-11-23	400608211	Penn State		(4-1, 2-0 home)	USC		(2-3, 0-0 away)
2014-11-23	400593200	UCLA		(4-0, 4-0 home)	LBSU		(2-3, 0-3 away)
2014-11-24	400593201	Arizona	(3)	(4-0, 3-0 home)	Missouri		(2-2, 0-0 away)
2014-11-24	400593202	Maryland		(4-0, 3-0 home)	Arizona State		(3-1, 0-0 away)
2014-11-24	400585698	Oklahoma State		(5-0, 4-0 home)	Oregon State		(3-1, 0-0 away)
2014-11-24	400593203	Oregon		(3-1, 3-0 home)	Michigan	(19)	(4-0, 0-0 away)
2014-11-25	400608479	Arizona State		(3-2, 3-0 home)	Alabama		(4-1, 0-0 away)
2014-11-25	400608449	Arizona	(3)	(5-0, 3-0 home)	Kansas State		(3-2, 0-1 away)
2014-11-25	400608481	Oregon		(3-2, 3-0 home)	VCU	(14)	(4-1, 0-0 away)
2014-11-25	400591571	Colorado		(3-1, 3-0 home)	Air Force		(3-2, 0-2 away)
